model_seed,method,host_a,host_b,territory_overlap,functional_cost
2,r0_mlp,0,0,1.0,0.0
2,r0_mlp,0,1,0.965354323387146,0.9186874628067017
2,r0_mlp,0,2,0.9190552830696106,1.1336418390274048
2,r0_mlp,0,3,0.9290565252304077,1.0216879844665527
2,r0_mlp,1,0,0.965354323387146,0.9186874628067017
2,r0_mlp,1,1,1.0,0.0
2,r0_mlp,1,2,0.904610276222229,1.1018378734588623
2,r0_mlp,1,3,0.9051741361618042,1.0
2,r0_mlp,2,0,0.9190552830696106,1.1336418390274048
2,r0_mlp,2,1,0.904610276222229,1.1018378734588623
2,r0_mlp,2,2,1.0,0.0
2,r0_mlp,2,3,0.9773293733596802,0.9448704719543457
2,r0_mlp,3,0,0.9290565252304077,1.0216879844665527
2,r0_mlp,3,1,0.9051741361618042,1.0
2,r0_mlp,3,2,0.9773293733596802,0.9448704719543457
2,r0_mlp,3,3,1.0,0.0
2,r1_linear,0,0,1.0,0.0
2,r1_linear,0,1,0.9762446880340576,0.9186874628067017
2,r1_linear,0,2,0.9376670122146606,1.1336418390274048
2,r1_linear,0,3,0.9817477464675903,1.0216879844665527
2,r1_linear,1,0,0.9762446880340576,0.9186874628067017
2,r1_linear,1,1,1.0,0.0
2,r1_linear,1,2,0.9362232685089111,1.1018378734588623
2,r1_linear,1,3,0.9601739645004272,1.0
2,r1_linear,2,0,0.9376670122146606,1.1336418390274048
2,r1_linear,2,1,0.9362232685089111,1.1018378734588623
2,r1_linear,2,2,1.0,0.0
2,r1_linear,2,3,0.9441946744918823,0.9448704719543457
2,r1_linear,3,0,0.9817477464675903,1.0216879844665527
2,r1_linear,3,1,0.9601739645004272,1.0
2,r1_linear,3,2,0.9441946744918823,0.9448704719543457
2,r1_linear,3,3,1.0,0.0
2,r2_prototype_energy,0,0,1.0,0.0
2,r2_prototype_energy,0,1,0.826392412185669,0.9186874628067017
2,r2_prototype_energy,0,2,0.6837191581726074,1.1336418390274048
2,r2_prototype_energy,0,3,0.6315810084342957,1.0216879844665527
2,r2_prototype_energy,1,0,0.826392412185669,0.9186874628067017
2,r2_prototype_energy,1,1,1.0,0.0
2,r2_prototype_energy,1,2,0.73469078540802,1.1018378734588623
2,r2_prototype_energy,1,3,0.5282884836196899,1.0
2,r2_prototype_energy,2,0,0.6837191581726074,1.1336418390274048
2,r2_prototype_energy,2,1,0.73469078540802,1.1018378734588623
2,r2_prototype_energy,2,2,1.0,0.0
2,r2_prototype_energy,2,3,0.6424222588539124,0.9448704719543457
2,r2_prototype_energy,3,0,0.6315810084342957,1.0216879844665527
2,r2_prototype_energy,3,1,0.5282884836196899,1.0
2,r2_prototype_energy,3,2,0.6424222588539124,0.9448704719543457
2,r2_prototype_energy,3,3,1.0,0.0
2,r3_hybrid_energy,0,0,1.0,0.0
2,r3_hybrid_energy,0,1,0.6905903816223145,0.9186874628067017
2,r3_hybrid_energy,0,2,0.6623866558074951,1.1336418390274048
2,r3_hybrid_energy,0,3,0.6218829154968262,1.0216879844665527
2,r3_hybrid_energy,1,0,0.6905903816223145,0.9186874628067017
2,r3_hybrid_energy,1,1,1.0,0.0
2,r3_hybrid_energy,1,2,0.5588242411613464,1.1018378734588623
2,r3_hybrid_energy,1,3,0.8602368831634521,1.0
2,r3_hybrid_energy,2,0,0.6623866558074951,1.1336418390274048
2,r3_hybrid_energy,2,1,0.5588242411613464,1.1018378734588623
2,r3_hybrid_energy,2,2,1.0,0.0
2,r3_hybrid_energy,2,3,0.6094562411308289,0.9448704719543457
2,r3_hybrid_energy,3,0,0.6218829154968262,1.0216879844665527
2,r3_hybrid_energy,3,1,0.8602368831634521,1.0
2,r3_hybrid_energy,3,2,0.6094562411308289,0.9448704719543457
2,r3_hybrid_energy,3,3,1.0,0.0
