model_seed,method,scale,nominal_csr,nominal_csr_ci_low,nominal_csr_ci_high,functional_csr,functional_csr_ci_low,functional_csr_ci_high,dmr,dmr_ci_low,dmr_ci_high,prediction_preservation,prediction_preservation_ci_low,prediction_preservation_ci_high,mean_true_class_log_prob_change
1,r3_hybrid_energy,0.0,1.0,0.0,1.0,1.0000000004996772,0.9999999885405213,1.0000000120789685,0.8516124933725077,0.7822294538671485,0.9208595993348382,1.0,1.0,1.0,-1.6869239087374706e-09
1,r3_hybrid_energy,0.25,0.8536534105878768,0.7847719001277651,0.9229913338096369,0.8554829773027861,0.7679195827751331,0.9408312094867242,0.8516124933725077,0.7822294538671485,0.9208595993348382,1.0,1.0,1.0,0.0016704203104073146
1,r3_hybrid_energy,0.5,0.8616115987743291,0.7979093743348716,0.9274532371549294,0.8595755546072213,0.772131673392681,0.9477140940402345,0.8516124933725077,0.7822294538671485,0.9208595993348382,1.0,1.0,1.0,0.0015236988733961898
2,r0_mlp,-0.5,0.7903448538790777,0.7499922234014387,0.8308562490241864,0.38730136794189784,0.29890549409044187,0.4922970805494461,0.7646526197511698,0.7176450009131433,0.812323396163047,0.9905660377358491,0.9716981132075472,1.0,-0.002442223371340419
2,r0_mlp,-0.25,0.7741885335014327,0.7330052018838867,0.8184691739155506,0.08306617954476501,0.023963396294412066,0.1670858101561112,0.7646526197511698,0.7176450009131433,0.812323396163047,1.0,1.0,1.0,-0.0011611119756158794
2,r0_mlp,0.0,1.0000000491587095,1.0000000286624686,1.0000000710131343,1.0,0.999999990899543,1.0000000098752073,0.7646526197511698,0.7176450009131433,0.812323396163047,1.0,1.0,1.0,2.881828344093179e-09
2,r0_mlp,0.25,0.765835944418378,0.7168576243502767,0.8227003510068845,0.08680946674488875,0.02271070084763321,0.18398774911734828,0.7646526197511698,0.7176450009131433,0.812323396163047,1.0,1.0,1.0,0.0007961327561511184
2,r0_mlp,0.5,0.7752252621236095,0.7195205541690431,0.8351189814279528,0.4734657990821707,0.3696066658030787,0.5834870752022638,0.7646526197511698,0.7176450009131433,0.812323396163047,1.0,1.0,1.0,0.0011358247226420438
2,r1_linear,-0.5,0.7790227920936073,0.7507324123347441,0.8063738016891603,0.32114823887279664,0.2548447727020358,0.39230148572764584,0.7821411671331833,0.7488400486001947,0.8163751003469104,1.0,1.0,1.0,-0.0008740327584574807
2,r1_linear,-0.25,0.7773822491674413,0.7470492226450666,0.808076356571162,0.006986386082518162,0.0040698964464013394,0.010368569616859,0.7821411671331833,0.7488400486001947,0.8163751003469104,1.0,1.0,1.0,-0.0006146476305318329
2,r1_linear,0.0,1.0000000728430782,1.0000000538382112,1.0000000842937056,0.9999999878717198,0.9999999791867363,0.9999999957069673,0.7821411671331833,0.7488400486001947,0.8163751003469104,1.0,1.0,1.0,-3.936155787054098e-09
2,r1_linear,0.25,0.7937587879945139,0.7561280331905942,0.8310941951703488,0.009340545344793557,0.0065482433611875725,0.012945380490960477,0.7821411671331833,0.7488400486001947,0.8163751003469104,1.0,1.0,1.0,0.0009245821186956369
2,r1_linear,0.5,0.8096259757334758,0.768393464469325,0.8472252247527774,0.33970288453124214,0.2736402101338939,0.41233039772441243,0.7821411671331833,0.7488400486001947,0.8163751003469104,1.0,1.0,1.0,0.001968105657483047
2,r2_prototype_energy,-0.5,1.14576523037438,1.0406820421535807,1.2504307225923572,1.2120201069928904,1.0492305202287595,1.3777737061414477,1.2139179488735246,1.0990348289260559,1.3343675892877251,0.9905660377358491,0.9716981132075472,1.0,0.009230754496353978
2,r2_prototype_energy,-0.25,1.1858895002713987,1.070177069001321,1.3022535342563246,1.3509373876497537,1.1413992707537923,1.5774222393031117,1.2139179488735246,1.0990348289260559,1.3343675892877251,1.0,1.0,1.0,0.0035430157100254634
2,r2_prototype_energy,0.0,1.0000000250002945,0.0,1.0000000842937056,1.0000000069462605,0.9999999968626003,1.0000000165654361,1.2139179488735246,1.0990348289260559,1.3343675892877251,1.0,1.0,1.0,6.325964657765514e-10
2,r2_prototype_energy,0.25,1.2082998013448076,1.1025880407644342,1.3161508207839436,1.4559936009854786,1.263903179431196,1.6740923617259764,1.2139179488735246,1.0990348289260559,1.3343675892877251,0.9811320754716981,0.9528301886792453,1.0,-0.0014431446368964214
2,r2_prototype_energy,0.5,1.1723603465742907,1.0744506305329675,1.2731726905209686,1.3766843797959332,1.2163126676341236,1.5448775971457855,1.2139179488735246,1.0990348289260559,1.3343675892877251,0.9622641509433962,0.9245283018867925,0.9905660377358491,7.497102795344479e-05
2,r3_hybrid_energy,-0.5,1.101201404954154,0.966949590835122,1.26400809645414,1.0684060300389095,0.8691739666933244,1.2901073651434254,1.0521443154284935,0.9218821192662279,1.2081776346155533,0.9905660377358491,0.9716981132075472,1.0,0.001785179740696583
2,r3_hybrid_energy,-0.25,1.0738786308080417,0.9419907677660846,1.2373044817520547,1.0830829768245624,0.8775374108570709,1.3282668101678559,1.0521443154284935,0.9218821192662279,1.2081776346155533,1.0,1.0,1.0,-0.002699690361349088
2,r3_hybrid_energy,0.0,1.0000000204856563,0.0,1.0000000753945795,0.9999999887914958,0.9999999798929572,0.9999999970474566,1.0521443154284935,0.9218821192662279,1.2081776346155533,1.0,1.0,1.0,-1.405769923947892e-10
2,r3_hybrid_energy,0.25,1.0293564936317208,0.9097999546699128,1.1739203185590017,1.111223828980198,0.9298315945081822,1.3197983573776746,1.0521443154284935,0.9218821192662279,1.2081776346155533,1.0,1.0,1.0,0.009622707260104845
2,r3_hybrid_energy,0.5,1.0016133391728927,0.886841511591238,1.119427184756756,1.0839384018559794,0.9251636993329408,1.2649408472099433,1.0521443154284935,0.9218821192662279,1.2081776346155533,0.9811320754716981,0.9528301886792453,1.0,0.023860922504989605
3,r0_mlp,-0.5,1.0986354704217984,1.0300788913364727,1.172194735563236,1.162851257103132,1.050417981602088,1.2849081540844838,1.0874664845806934,1.01845653581792,1.1578643613001327,1.0,1.0,1.0,0.0015491669962428652
3,r0_mlp,-0.25,1.091162944027979,1.0299451901273147,1.1590747424631258,0.7563956164802619,0.46746153790233647,1.0755142550482353,1.0874664845806934,1.01845653581792,1.1578643613001327,1.0,1.0,1.0,0.0006333973680464727
3,r0_mlp,0.0,1.0000000525144483,1.000000031610137,1.0000000737814299,0.9999999981164541,0.999999989178901,1.0000000070929829,1.0874664845806934,1.01845653581792,1.1578643613001327,1.0,1.0,1.0,-4.2173097718436764e-10
3,r0_mlp,0.25,1.091948596694203,1.0272597042646643,1.1619211270867773,0.8720794541263985,0.5256159850348128,1.2679748969293485,1.0874664845806934,1.01845653581792,1.1578643613001327,1.0,1.0,1.0,-0.00022123014238083138
3,r0_mlp,0.5,1.1037500589973759,1.0357677015758848,1.17398786872453,1.2468940224329088,1.122681891173277,1.3742712215848454,1.0874664845806934,1.01845653581792,1.1578643613001327,1.0,1.0,1.0,-0.00010908593616957935
3,r1_linear,-0.5,1.2303663309891661,1.1543337217811598,1.3121439595088515,1.3427556542326577,1.1989676871766697,1.51466464315273,1.3655105980398272,1.2912706680202144,1.4402379220873625,0.9811320754716981,0.9528301886792453,1.0,-0.0029258689895834563
3,r1_linear,-0.25,1.2971476820771952,1.228188673688315,1.3745326297717038,3.2878254907933,2.1226646273035703,5.117917758894721,1.3655105980398272,1.2912706680202144,1.4402379220873625,0.9811320754716981,0.9528301886792453,1.0,-0.0016330565800363162
3,r1_linear,0.0,1.000000029359588,1.0000000110551228,1.0000000570034857,0.9999999910763668,0.9999999791241978,1.0000000023037525,1.3655105980398272,1.2912706680202144,1.4402379220873625,1.0,1.0,1.0,-2.108654885921838e-09
3,r1_linear,0.25,1.4241205012157574,1.3464076737998991,1.504873149694157,3.727432644829066,2.555037619583386,5.606119818510187,1.3655105980398272,1.2912706680202144,1.4402379220873625,0.9905660377358491,0.9716981132075472,1.0,0.0016289429633684878
3,r1_linear,0.5,1.465689274285957,1.3678285228783025,1.56232632512968,1.9211077592452954,1.7300792162728367,2.155158333154768,1.3655105980398272,1.2912706680202144,1.4402379220873625,0.9905660377358491,0.9716981132075472,1.0,0.0029111850022707345
3,r2_prototype_energy,-0.5,0.8091250190519274,0.7555186899408461,0.8722965054305922,0.7701476499418792,0.6910623768889859,0.857196701566364,0.9000208138457444,0.843579331469965,0.956353589018427,0.9905660377358491,0.9716981132075472,1.0,0.0044370879471864345
3,r2_prototype_energy,-0.25,0.8304451161864543,0.7811955165466724,0.8871936432506824,0.8158022809387435,0.737599649442667,0.8981072436997214,0.9000208138457444,0.843579331469965,0.956353589018427,0.9905660377358491,0.9716981132075472,1.0,-0.0011550418259400242
3,r2_prototype_energy,0.0,1.0,0.0,1.0,0.9999999918490694,0.9999999806084777,1.0000000037529315,0.9000208138457444,0.843579331469965,0.956353589018427,1.0,1.0,1.0,8.434619543687353e-10
3,r2_prototype_energy,0.25,0.9882506139893175,0.9199327008953875,1.0572011731040705,1.0719143631853485,0.9723238102285462,1.178571888131447,0.9000208138457444,0.843579331469965,0.956353589018427,1.0,1.0,1.0,0.00431784987449646
3,r2_prototype_energy,0.5,1.0529531315951817,0.9711419000367202,1.1413228985741566,1.1468865235097994,1.0447101113165027,1.2620133287085782,0.9000208138457444,0.843579331469965,0.956353589018427,1.0,1.0,1.0,0.0071627026740110145
3,r3_hybrid_energy,-0.5,0.7735346909437268,0.7137677095921285,0.8357700884491094,0.7329749561149052,0.64241186059236,0.8273067269629308,0.9140559306762012,0.8589675667817198,0.9682168957004461,0.9811320754716981,0.9528301886792453,1.0,0.009536156922859966
3,r3_hybrid_energy,-0.25,0.8185474544912609,0.7660586499475295,0.8758795472496934,0.7911536017527423,0.7049838604528275,0.8772006602082211,0.9140559306762012,0.8589675667817198,0.9682168957004461,0.9811320754716981,0.9528301886792453,1.0,0.002985147548452863
