model_seed,method,variant,root_route_r2,root_chord_error,functional_transport_error,evaluation_samples
0,r0_mlp,full_context,0.992371081737065,0.0036365447476629335,1.3880536471333471e-06,642
0,r0_mlp,angle_shuffled,-0.02036553429695923,0.04892756141689443,0.05010508745908737,642
0,r0_mlp,tangent_removed,0.9540451705364601,0.009336455770371056,0.0004302501038182527,642
0,r0_mlp,matched_orthogonal_component,0.193927228562878,0.04401583076506544,0.04206310585141182,642
0,r1_linear,full_context,0.9970172916663651,0.0021454474129461785,5.2164846664481956e-08,642
0,r1_linear,angle_shuffled,-0.0016080747283255409,0.06942742812519741,0.08966293185949326,642
0,r1_linear,tangent_removed,0.8822957775846207,0.021011322880065648,0.013721054419875145,642
0,r1_linear,matched_orthogonal_component,0.49266699851335793,0.05033602566462591,0.05967222899198532,642
0,r2_prototype_energy,full_context,0.8888745956138544,0.11360499571571203,0.13517314195632935,642
0,r2_prototype_energy,angle_shuffled,0.04394999021393729,0.42182442991066593,0.4831249713897705,642
0,r2_prototype_energy,tangent_removed,0.8074133959560453,0.15987725639558611,0.19289317727088928,642
0,r2_prototype_energy,matched_orthogonal_component,0.1237481904401336,0.3903239539001302,0.45413294434547424,642
0,r3_hybrid_energy,full_context,0.8646153882286796,0.14109122351453643,0.15648199617862701,642
0,r3_hybrid_energy,angle_shuffled,0.04452389250675313,0.4845147615102292,0.5545543432235718,642
0,r3_hybrid_energy,tangent_removed,0.7808349266681829,0.19130075487700277,0.21857020258903503,642
0,r3_hybrid_energy,matched_orthogonal_component,0.11148210268572999,0.4493114947480366,0.5178079009056091,642
1,r0_mlp,full_context,0.9941141066399111,0.004374165104527119,9.256180533157021e-07,642
1,r0_mlp,angle_shuffled,0.1237111822228402,0.08015044881669058,0.09699446707963943,642
1,r0_mlp,tangent_removed,0.9913584186087298,0.005974985081256502,8.658922160975635e-05,642
1,r0_mlp,matched_orthogonal_component,0.5989592310865566,0.055466279572400974,0.06621604412794113,642
1,r1_linear,full_context,0.9979980068287625,0.0021653746566106065,1.370175617410041e-08,642
1,r1_linear,angle_shuffled,0.10967837612265106,0.06476328557932795,0.07849521934986115,642
1,r1_linear,tangent_removed,0.945152731099851,0.012756948407376411,0.004766139667481184,642
1,r1_linear,matched_orthogonal_component,0.4117798703963957,0.05111272766879719,0.05861491337418556,642
1,r2_prototype_energy,full_context,0.9170962578066901,0.10912167075727262,0.10772409290075302,642
1,r2_prototype_energy,angle_shuffled,0.05646316820064142,0.42052179052772787,0.4834985136985779,642
1,r2_prototype_energy,tangent_removed,0.8831652737204075,0.12686832052762378,0.12539318203926086,642
1,r2_prototype_energy,matched_orthogonal_component,0.243280223029985,0.36555515875476247,0.40979593992233276,642
1,r3_hybrid_energy,full_context,0.8628785043839626,0.15087712769141137,0.15091344714164734,642
1,r3_hybrid_energy,angle_shuffled,0.049739344805540334,0.4945647538907849,0.5488567352294922,642
1,r3_hybrid_energy,tangent_removed,0.8463449717736955,0.15911976685154455,0.15774963796138763,642
1,r3_hybrid_energy,matched_orthogonal_component,0.28299234432321535,0.41021227836261337,0.43750903010368347,642
2,r0_mlp,full_context,0.9914183523453308,0.006354015796091317,5.871985990779649e-07,642
2,r0_mlp,angle_shuffled,0.10437046090107686,0.07200268615200849,0.08964715898036957,642
2,r0_mlp,tangent_removed,0.9206585578170754,0.019023228248672912,0.010983824729919434,642
2,r0_mlp,matched_orthogonal_component,0.4955000184958655,0.05280041595790689,0.06349923461675644,642
2,r1_linear,full_context,0.9986282095729664,0.0015672586635965728,1.3487777117404676e-08,642
2,r1_linear,angle_shuffled,0.07822688345745854,0.04685686907656705,0.05233312025666237,642
2,r1_linear,tangent_removed,0.8460545614930285,0.01663864085249428,0.008068378083407879,642
2,r1_linear,matched_orthogonal_component,0.1542639416778635,0.043935087525754556,0.04802514612674713,642
2,r2_prototype_energy,full_context,0.9233761851705019,0.09497699972592866,0.09108705073595047,642
2,r2_prototype_energy,angle_shuffled,0.042894749114890385,0.39819043410985977,0.4724041223526001,642
2,r2_prototype_energy,tangent_removed,0.7653221562790293,0.1699620427670461,0.19895991683006287,642
2,r2_prototype_energy,matched_orthogonal_component,0.365904832041608,0.31283752954772354,0.37459829449653625,642
2,r3_hybrid_energy,full_context,0.9002231438284065,0.1202919767342642,0.11737500131130219,642
2,r3_hybrid_energy,angle_shuffled,0.05579592523314494,0.45537343860600193,0.5227598547935486,642
2,r3_hybrid_energy,tangent_removed,0.7143824544057191,0.21174281773565595,0.23208793997764587,642
2,r3_hybrid_energy,matched_orthogonal_component,0.32501189361182997,0.3694236541892839,0.43540069460868835,642
3,r0_mlp,full_context,0.9926603872433437,0.005832327918194134,2.365608906984562e-06,642
3,r0_mlp,angle_shuffled,-0.04196801271151475,0.08209194490957296,0.10641662776470184,642
3,r0_mlp,tangent_removed,0.5082917556389259,0.04956354302907966,0.0584043525159359,642
3,r0_mlp,matched_orthogonal_component,0.15800405787355182,0.06967164923776142,0.08661817759275436,642
3,r1_linear,full_context,0.9973498220917603,0.002137486320697636,6.853447587218398e-08,642
3,r1_linear,angle_shuffled,-0.01701370421049285,0.06891566569758906,0.08567158132791519,642
3,r1_linear,tangent_removed,0.8445481146485627,0.023693519992131096,0.018103163689374924,642
3,r1_linear,matched_orthogonal_component,0.5966529228173362,0.04220819860725098,0.04697320982813835,642
3,r2_prototype_energy,full_context,0.9134473582295293,0.0978705387415923,0.09691090881824493,642
3,r2_prototype_energy,angle_shuffled,-0.02901413419682278,0.4024242060468664,0.49085864424705505,642
3,r2_prototype_energy,tangent_removed,0.6520102530036873,0.19681444528086559,0.2391003519296646,642
3,r2_prototype_energy,matched_orthogonal_component,0.2877869035247598,0.3150332001172399,0.3982222080230713,642
3,r3_hybrid_energy,full_context,0.8915676204195525,0.1213165465090181,0.11983378231525421,642
3,r3_hybrid_energy,angle_shuffled,-0.023384369126140628,0.4620887307941487,0.5534127950668335,642
3,r3_hybrid_energy,tangent_removed,0.626597808123061,0.23806954291465263,0.27883750200271606,642
3,r3_hybrid_energy,matched_orthogonal_component,0.2743966016472366,0.36475020149872056,0.4465850591659546,642
4,r0_mlp,full_context,0.9945810674456076,0.006741725754608524,0.00013986777048557997,642
4,r0_mlp,angle_shuffled,-0.05658396327681722,0.11162893095539035,0.14810216426849365,642
4,r0_mlp,tangent_removed,0.9936424763109283,0.007139294686392633,0.00022073426225688308,642
4,r0_mlp,matched_orthogonal_component,0.8275785424062216,0.04082067076447443,0.03993785008788109,642
4,r1_linear,full_context,0.9984407457633906,0.001606517113727559,1.2550695593915862e-08,642
4,r1_linear,angle_shuffled,-0.06398281038426978,0.05224713570593443,0.056719712913036346,642
4,r1_linear,tangent_removed,0.860734385349001,0.015221742402959823,0.006969847250729799,642
4,r1_linear,matched_orthogonal_component,0.5063090291793425,0.03283349950995086,0.030757218599319458,642
4,r2_prototype_energy,full_context,0.892586228304287,0.11628051293123803,0.13177192211151123,642
4,r2_prototype_energy,angle_shuffled,-0.04772719377990754,0.4824021067719468,0.5393550992012024,642
4,r2_prototype_energy,tangent_removed,0.8841502469193133,0.12118784052731872,0.13777820765972137,642
4,r2_prototype_energy,matched_orthogonal_component,0.6486890406251189,0.2347107081293952,0.2902257442474365,642
4,r3_hybrid_energy,full_context,0.8575177329674293,0.14766574661715898,0.1543494164943695,642
4,r3_hybrid_energy,angle_shuffled,-0.0426036761579248,0.5171883472423677,0.6000475287437439,642
4,r3_hybrid_energy,tangent_removed,0.8564524104816644,0.1479598010325644,0.1549105942249298,642
4,r3_hybrid_energy,matched_orthogonal_component,0.5637161965118949,0.28517198920620357,0.3161010444164276,642
