model_seed,contrast,partition,space,metric,delta_mean,delta_ci_low,delta_ci_high,source_blocks
4,stationary_full_vs_no_geo,C1_trained,context,rho,0.06982127085829702,0.02785588131015361,0.11563216870095629,256
4,stationary_full_vs_no_geo,C1_trained,context,stress,-0.00868313946366645,-0.026432970549333884,0.008615392602258774,256
4,stationary_full_vs_no_geo,C1_trained,route,rho,-0.0740671589510313,-0.12040072313493072,-0.022687567821834117,256
4,stationary_full_vs_no_geo,C1_trained,route,stress,0.05549115044023441,0.035932486920557616,0.07542631280796347,256
4,stationary_full_vs_no_geo,C1_trained,synthesis,rho,-0.020062441982042673,-0.03168649175171258,-0.008913261275375957,256
4,stationary_full_vs_no_geo,C1_trained,synthesis,stress,0.004431774024127115,0.002249603810894655,0.006588594272105066,256
4,stationary_full_vs_no_geo,dense_heldout,context,rho,0.007326681664979431,-0.028217630199049226,0.0465121814154606,256
4,stationary_full_vs_no_geo,dense_heldout,context,stress,0.002219210370255714,-0.012994494195321948,0.01729183924293259,256
4,stationary_full_vs_no_geo,dense_heldout,route,rho,-0.12394843465680544,-0.1708890864675705,-0.07423380174957983,256
4,stationary_full_vs_no_geo,dense_heldout,route,stress,0.07021061958478621,0.04988932752675835,0.08970737955033421,256
4,stationary_full_vs_no_geo,dense_heldout,synthesis,rho,-0.023752280677912664,-0.03414363331662095,-0.013871346324321193,256
4,stationary_full_vs_no_geo,dense_heldout,synthesis,stress,0.006696067998471323,0.0043102363831907,0.009030351913187342,256
4,stationary_vs_legacy_route,C1_trained,context,rho,-0.03317255258416957,-0.04777368996973911,-0.018720393728169644,256
4,stationary_vs_legacy_route,C1_trained,context,stress,0.017090426995982795,0.011912611879671896,0.021990934185996167,256
4,stationary_vs_legacy_route,C1_trained,route,rho,-0.0020360399041181925,-0.01922009254610109,0.014401878602270171,256
4,stationary_vs_legacy_route,C1_trained,route,stress,0.0052179524564823065,-0.0016250259688505406,0.011731393154429306,256
4,stationary_vs_legacy_route,C1_trained,synthesis,rho,-0.008417286920683742,-0.013432897416194411,-0.0028516973535118837,256
4,stationary_vs_legacy_route,C1_trained,synthesis,stress,0.0019354692503296624,0.0011252301410476365,0.002890166109036925,256
4,stationary_vs_legacy_route,dense_heldout,context,rho,-0.034313652674825,-0.0454369530590219,-0.023404317330401842,256
4,stationary_vs_legacy_route,dense_heldout,context,stress,0.013269794127673772,0.008871754105513925,0.01747522689036827,256
4,stationary_vs_legacy_route,dense_heldout,route,rho,0.001303962026903911,-0.011104569437954072,0.01464723975137948,256
4,stationary_vs_legacy_route,dense_heldout,route,stress,0.0038188133767324828,-0.0010807489887171542,0.008520414650927134,256
4,stationary_vs_legacy_route,dense_heldout,synthesis,rho,-0.0052158481076156425,-0.009927401508693857,-0.0011447489838399502,256
4,stationary_vs_legacy_route,dense_heldout,synthesis,stress,0.0018195760590604664,0.0008756232147402766,0.002987285885943344,256
