model_seed,method,stage,current_angle,seen_angles,context_checkpoint_hash,common_bank_hash,router_parameters,continuity_weight,forward_images,optimizer_steps,wall_seconds,loss,current_ce,anchor_ce,balance,continuity
0,r0_mlp,0,-60.0,[-60.0],994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,4740,0.0,1024,16,0.8548878890005653,2.1270523741841316,2.126935623586178,0.0,0.005837376622366719,0.0
0,r0_mlp,1,-30.0,"[-60.0, -30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,4740,0.0,2048,16,1.37978674399983,1.3781759813427925,1.1675041653215885,2.1033506989479065,0.016836029710248113,0.0
0,r0_mlp,2,0.0,"[-60.0, -30.0, 0.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,4740,0.0,3072,16,1.834214556999541,0.5703230630606413,0.4070387538522482,1.6290737837553024,0.018846222548745573,0.0
0,r0_mlp,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,4740,0.0,4096,16,2.424391040000046,1.3705513551831245,1.24812001734972,1.220199003815651,0.02057102508842945,0.0
0,r0_mlp,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,4740,0.0,5120,16,4.684805452000546,0.742691844701767,0.6197758074849844,1.222571238875389,0.0329453261801973,0.0
0,r1_linear,0,-60.0,[-60.0],994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,20,0.0,1024,16,0.7901371810003184,2.1518765315413475,2.15161944180727,0.0,0.012854452477768064,0.0
0,r1_linear,1,-30.0,"[-60.0, -30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,20,0.0,2048,16,2.0746853949995057,1.384846605360508,1.1695517003536224,2.148345500230789,0.02301820321008563,0.0
0,r1_linear,2,0.0,"[-60.0, -30.0, 0.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,20,0.0,3072,16,1.883295255000121,0.5759429670870304,0.40953488275408745,1.6577267348766327,0.03177005343604833,0.0
0,r1_linear,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,20,0.0,4096,16,3.4561444149994713,1.4160752221941948,1.2914418205618858,1.2408547550439835,0.02739563025534153,0.0
0,r1_linear,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,20,0.0,5120,16,3.4924233800002185,0.7542357966303825,0.6284944526851177,1.251820482313633,0.02796431491151452,0.0
0,r2_prototype_energy,0,-60.0,[-60.0],994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,24,0.0,1024,16,0.7862249719992178,2.1945679113268852,2.192674368619919,0.0,0.09467636840417981,0.0
0,r2_prototype_energy,1,-30.0,"[-60.0, -30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,24,0.0,2048,16,1.3830573049999657,1.4113778695464134,1.1923472583293915,2.1820027604699135,0.04151731950696558,0.003033539789612405
0,r2_prototype_energy,2,0.0,"[-60.0, -30.0, 0.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,24,0.0,3072,16,1.8627789309994114,0.6544363703578711,0.4855880197137594,1.6832753717899323,0.02604067890206352,0.001885058059997391
0,r2_prototype_energy,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,24,0.0,4096,16,2.493315116999838,1.433414839208126,1.30512086302042,1.2812421694397926,0.00848750997101888,0.0013864215507055633
0,r2_prototype_energy,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,24,0.0,5120,16,3.4281725890004964,0.8381780609488487,0.7095342557877302,1.2845836654305458,0.009271203991374932,0.0012382929635350592
0,r3_hybrid_energy,0,-60.0,[-60.0],994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,42,0.0,1024,16,1.202286789000027,2.050231620669365,2.047825373709202,0.0,0.12031208397820592,0.0
0,r3_hybrid_energy,1,-30.0,"[-60.0, -30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,42,0.0,2048,16,1.3892357860004267,1.43354781717062,1.2283518984913826,2.0444012731313705,0.037789590656757355,0.014747930923476815
0,r3_hybrid_energy,2,0.0,"[-60.0, -30.0, 0.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,42,0.0,3072,16,2.943243299000642,0.6493820697069168,0.48551862873136997,1.6339812278747559,0.023265539610292763,0.009942693868651986
0,r3_hybrid_energy,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,42,0.0,4096,16,2.4049195499992493,1.4952086955308914,1.3702958077192307,1.2485085502266884,0.00310183961482835,0.008649035997223109
0,r3_hybrid_energy,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,42,0.0,5120,16,4.113973534999786,0.8147493302822113,0.6869914829730988,1.2764903828501701,0.0054399628425017,0.007705110940150917
0,r4_smooth_residual,0,-60.0,[-60.0],994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,141,0.0,1024,16,0.8256496710000647,2.1611908450722694,2.1603311896324158,0.0,0.04298222437500954,0.0
0,r4_smooth_residual,1,-30.0,"[-60.0, -30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,141,0.0,2048,16,1.3893224960002044,1.3880660086870193,1.171875737607479,2.1557144224643707,0.030941099277697504,0.0
0,r4_smooth_residual,2,0.0,"[-60.0, -30.0, 0.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,141,0.0,3072,16,1.87019249199966,0.5724708121269941,0.4057895094156265,1.6621427983045578,0.023350974661298096,0.0
0,r4_smooth_residual,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,141,0.0,4096,16,2.4579653040000267,1.3968925774097443,1.2721576690673828,1.2425797954201698,0.02384704747237265,0.0
0,r4_smooth_residual,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,141,0.0,5120,16,4.426378843000748,0.7411813363432884,0.6159220542758703,1.2482441142201424,0.021743177669122815,0.0
0,r5_smooth_residual_continuity,0,-60.0,[-60.0],994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,141,0.1,1024,16,0.8273534830004792,2.1574273630976677,2.15688768774271,0.0,0.026983803138136864,0.0
0,r5_smooth_residual_continuity,1,-30.0,"[-60.0, -30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,141,0.1,2048,16,2.001901724000163,1.3979328721761703,1.1821714490652084,2.1519021689891815,0.02856006333604455,0.0
0,r5_smooth_residual_continuity,2,0.0,"[-60.0, -30.0, 0.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,141,0.1,3072,16,1.8597211460000835,0.5868119187653065,0.41963629983365536,1.6653937846422195,0.031812706496566534,0.0
0,r5_smooth_residual_continuity,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,141,0.1,4096,16,3.7529495420003514,1.4411007091403008,1.3155366256833076,1.2491303831338882,0.032553143450059,0.0
0,r5_smooth_residual_continuity,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",994fbd92290ab0dba14d5f0f3dd615a8b77dbbf53659e986fd4cc050984cebcd,2723918549e474b0d5d36b6c2b21032f38ae20c8131242233a20642981bd744e,141,0.1,5120,16,3.4180411139996068,0.7634961903095245,0.636454040184617,1.2637178674340248,0.033517773961648345,0.0
