model_seed,method,stage,angle,angle_type,accuracy,nll
0,r0_mlp,0,-75.0,heldout,0.228125,2.428245258331299
0,r0_mlp,0,-60.0,train,0.28125,2.1642765045166015
0,r0_mlp,0,-45.0,heldout,0.428125,1.6751031637191773
0,r0_mlp,0,-30.0,train,0.634375,1.1271872758865356
0,r0_mlp,0,-15.0,heldout,0.825,0.6109365701675415
0,r0_mlp,0,0.0,train,0.90625,0.41518098711967466
0,r0_mlp,0,15.0,heldout,0.8765625,0.48398571014404296
0,r0_mlp,0,30.0,train,0.7890625,0.6997126579284668
0,r0_mlp,0,45.0,heldout,0.6421875,1.0126341462135315
0,r0_mlp,0,60.0,train,0.55,1.2963538408279418
0,r0_mlp,0,75.0,heldout,0.3796875,1.7952731132507325
0,r0_mlp,1,-75.0,heldout,0.2296875,2.4105172634124754
0,r0_mlp,1,-60.0,train,0.2875,2.1501739501953123
0,r0_mlp,1,-45.0,heldout,0.425,1.6657014608383178
0,r0_mlp,1,-30.0,train,0.634375,1.1224412679672242
0,r0_mlp,1,-15.0,heldout,0.825,0.6097023546695709
0,r0_mlp,1,0.0,train,0.903125,0.4155305206775665
0,r0_mlp,1,15.0,heldout,0.8765625,0.484536749124527
0,r0_mlp,1,30.0,train,0.7953125,0.6982154846191406
0,r0_mlp,1,45.0,heldout,0.646875,1.0077821493148804
0,r0_mlp,1,60.0,train,0.55625,1.287363886833191
0,r0_mlp,1,75.0,heldout,0.3828125,1.7871130228042602
0,r0_mlp,2,-75.0,heldout,0.23125,2.4081014156341554
0,r0_mlp,2,-60.0,train,0.2875,2.1478818893432616
0,r0_mlp,2,-45.0,heldout,0.4265625,1.662201499938965
0,r0_mlp,2,-30.0,train,0.634375,1.1195564270019531
0,r0_mlp,2,-15.0,heldout,0.8265625,0.607603257894516
0,r0_mlp,2,0.0,train,0.903125,0.41405320167541504
0,r0_mlp,2,15.0,heldout,0.8765625,0.4833910346031189
0,r0_mlp,2,30.0,train,0.7953125,0.6965409994125367
0,r0_mlp,2,45.0,heldout,0.6515625,1.0062973499298096
0,r0_mlp,2,60.0,train,0.553125,1.2868754386901855
0,r0_mlp,2,75.0,heldout,0.384375,1.7866209983825683
0,r0_mlp,3,-75.0,heldout,0.2359375,2.4144229888916016
0,r0_mlp,3,-60.0,train,0.2875,2.152528476715088
0,r0_mlp,3,-45.0,heldout,0.4390625,1.6629566907882691
0,r0_mlp,3,-30.0,train,0.63125,1.1178188800811768
0,r0_mlp,3,-15.0,heldout,0.825,0.605864018201828
0,r0_mlp,3,0.0,train,0.90625,0.41654655933380125
0,r0_mlp,3,15.0,heldout,0.86875,0.4874644219875336
0,r0_mlp,3,30.0,train,0.796875,0.6972561836242676
0,r0_mlp,3,45.0,heldout,0.65,1.0042616248130798
0,r0_mlp,3,60.0,train,0.559375,1.2781816720962524
0,r0_mlp,3,75.0,heldout,0.3859375,1.776007604598999
0,r0_mlp,4,-75.0,heldout,0.234375,2.4106759548187258
0,r0_mlp,4,-60.0,train,0.2921875,2.14909086227417
0,r0_mlp,4,-45.0,heldout,0.4328125,1.660934615135193
0,r0_mlp,4,-30.0,train,0.63125,1.1178160190582276
0,r0_mlp,4,-15.0,heldout,0.8234375,0.6068960666656494
0,r0_mlp,4,0.0,train,0.90625,0.4175518393516541
0,r0_mlp,4,15.0,heldout,0.8671875,0.48802290558815004
0,r0_mlp,4,30.0,train,0.796875,0.6962681412696838
0,r0_mlp,4,45.0,heldout,0.6515625,1.0016170144081116
0,r0_mlp,4,60.0,train,0.5625,1.2753095865249633
0,r0_mlp,4,75.0,heldout,0.3875,1.7736289024353027
0,r1_linear,0,-75.0,heldout,0.21875,2.4716721057891844
0,r1_linear,0,-60.0,train,0.275,2.1989066123962404
0,r1_linear,0,-45.0,heldout,0.41875,1.6919728994369507
0,r1_linear,0,-30.0,train,0.625,1.1267338752746583
0,r1_linear,0,-15.0,heldout,0.8140625,0.6123950481414795
0,r1_linear,0,0.0,train,0.9015625,0.4191360116004944
0,r1_linear,0,15.0,heldout,0.875,0.4921011507511139
0,r1_linear,0,30.0,train,0.778125,0.7132334589958191
0,r1_linear,0,45.0,heldout,0.6328125,1.0365671515464783
0,r1_linear,0,60.0,train,0.5390625,1.3304370880126952
0,r1_linear,0,75.0,heldout,0.3703125,1.8194669246673585
0,r1_linear,1,-75.0,heldout,0.221875,2.468919801712036
0,r1_linear,1,-60.0,train,0.275,2.196647024154663
0,r1_linear,1,-45.0,heldout,0.41875,1.6903573036193849
0,r1_linear,1,-30.0,train,0.6265625,1.1258713722229003
0,r1_linear,1,-15.0,heldout,0.815625,0.6119358241558075
0,r1_linear,1,0.0,train,0.9,0.4188977241516113
0,r1_linear,1,15.0,heldout,0.875,0.4918758630752563
0,r1_linear,1,30.0,train,0.78125,0.7127139806747437
0,r1_linear,1,45.0,heldout,0.634375,1.035622525215149
0,r1_linear,1,60.0,train,0.5375,1.3290061712265016
0,r1_linear,1,75.0,heldout,0.36875,1.818211841583252
0,r1_linear,2,-75.0,heldout,0.2203125,2.4679161071777345
0,r1_linear,2,-60.0,train,0.2765625,2.1957107543945313
0,r1_linear,2,-45.0,heldout,0.41875,1.6896373271942138
0,r1_linear,2,-30.0,train,0.628125,1.1254295349121093
0,r1_linear,2,-15.0,heldout,0.8171875,0.6112312257289887
0,r1_linear,2,0.0,train,0.9,0.4181681275367737
0,r1_linear,2,15.0,heldout,0.875,0.4910773515701294
0,r1_linear,2,30.0,train,0.784375,0.7118581771850586
0,r1_linear,2,45.0,heldout,0.634375,1.0347191929817199
0,r1_linear,2,60.0,train,0.5375,1.3281874656677246
0,r1_linear,2,75.0,heldout,0.36875,1.8177547216415406
0,r1_linear,3,-75.0,heldout,0.2234375,2.4664947032928466
0,r1_linear,3,-60.0,train,0.2734375,2.1946568965911863
0,r1_linear,3,-45.0,heldout,0.415625,1.689034366607666
0,r1_linear,3,-30.0,train,0.6296875,1.1249763727188111
0,r1_linear,3,-15.0,heldout,0.8203125,0.6103783249855042
0,r1_linear,3,0.0,train,0.9,0.4173328995704651
0,r1_linear,3,15.0,heldout,0.8734375,0.49000091552734376
0,r1_linear,3,30.0,train,0.7859375,0.710384213924408
0,r1_linear,3,45.0,heldout,0.6359375,1.032605516910553
0,r1_linear,3,60.0,train,0.5390625,1.3251722574234008
0,r1_linear,3,75.0,heldout,0.3703125,1.8153100490570069
0,r1_linear,4,-75.0,heldout,0.221875,2.465349864959717
0,r1_linear,4,-60.0,train,0.2734375,2.193736124038696
0,r1_linear,4,-45.0,heldout,0.415625,1.688542652130127
0,r1_linear,4,-30.0,train,0.6296875,1.124686312675476
0,r1_linear,4,-15.0,heldout,0.81875,0.6096532344818115
0,r1_linear,4,0.0,train,0.9,0.41652223467826843
0,r1_linear,4,15.0,heldout,0.8734375,0.48892681002616883
0,r1_linear,4,30.0,train,0.7875,0.7089673161506653
0,r1_linear,4,45.0,heldout,0.6390625,1.0306463718414307
0,r1_linear,4,60.0,train,0.5375,1.3225693941116332
0,r1_linear,4,75.0,heldout,0.371875,1.8132994174957275
0,r2_prototype_energy,0,-75.0,heldout,0.18125,2.5523798942565916
0,r2_prototype_energy,0,-60.0,train,0.253125,2.24213228225708
0,r2_prototype_energy,0,-45.0,heldout,0.40625,1.7199382543563844
0,r2_prototype_energy,0,-30.0,train,0.6359375,1.147485089302063
0,r2_prototype_energy,0,-15.0,heldout,0.825,0.6439354658126831
0,r2_prototype_energy,0,0.0,train,0.8984375,0.4719375967979431
0,r2_prototype_energy,0,15.0,heldout,0.8484375,0.5727929174900055
0,r2_prototype_energy,0,30.0,train,0.715625,0.8087682723999023
0,r2_prototype_energy,0,45.0,heldout,0.5828125,1.1331985950469972
0,r2_prototype_energy,0,60.0,train,0.509375,1.3891117811203002
0,r2_prototype_energy,0,75.0,heldout,0.35625,1.8189390897750854
0,r2_prototype_energy,1,-75.0,heldout,0.18125,2.5439576625823976
0,r2_prototype_energy,1,-60.0,train,0.253125,2.2343061447143553
0,r2_prototype_energy,1,-45.0,heldout,0.4078125,1.7153180837631226
0,r2_prototype_energy,1,-30.0,train,0.640625,1.1450527906417847
0,r2_prototype_energy,1,-15.0,heldout,0.8265625,0.6428370714187622
0,r2_prototype_energy,1,0.0,train,0.9015625,0.4710442781448364
0,r2_prototype_energy,1,15.0,heldout,0.8421875,0.5720387995243073
0,r2_prototype_energy,1,30.0,train,0.715625,0.8077226996421814
0,r2_prototype_energy,1,45.0,heldout,0.5828125,1.1320415019989014
0,r2_prototype_energy,1,60.0,train,0.509375,1.3866198301315307
