model_seed,angle,row,column,value
0,-75.0,0,0,0.15370183325612824
0,-75.0,0,1,-0.008659503674019691
0,-75.0,0,2,-0.0678455872297807
0,-75.0,0,3,-0.04912111972816281
0,-75.0,1,0,-0.008659503674019691
0,-75.0,1,1,0.06526428833700648
0,-75.0,1,2,0.05354550555899096
0,-75.0,1,3,0.011329205565613709
0,-75.0,2,0,-0.0678455872297807
0,-75.0,2,1,0.05354550555899096
0,-75.0,2,2,0.17657093361149964
0,-75.0,2,3,0.013501348641056636
0,-75.0,3,0,-0.04912111972816281
0,-75.0,3,1,0.011329205565613709
0,-75.0,3,2,0.013501348641056636
0,-75.0,3,3,0.14513513568293288
0,-60.0,0,0,0.19549709708999968
0,-60.0,0,1,-0.0029400198744021096
0,-60.0,0,2,-0.08751140479747906
0,-60.0,0,3,-0.07491793340304237
0,-60.0,1,0,-0.0029400198744021096
0,-60.0,1,1,0.05864705569236349
0,-60.0,1,2,0.039829652111953794
0,-60.0,1,3,0.009441207620975207
0,-60.0,2,0,-0.08751140479747906
0,-60.0,2,1,0.039829652111953794
0,-60.0,2,2,0.1887149344024352
0,-60.0,2,3,0.04142550229235414
0,-60.0,3,0,-0.07491793340304237
0,-60.0,3,1,0.009441207620975207
0,-60.0,3,2,0.04142550229235414
0,-60.0,3,3,0.2070703352145706
0,-45.0,0,0,0.2548054741558666
0,-45.0,0,1,0.03927607066316978
0,-45.0,0,2,-0.08595646378688873
0,-45.0,0,3,-0.10519785651689739
0,-45.0,1,0,0.03927607066316978
0,-45.0,1,1,0.07139651929093872
0,-45.0,1,2,0.025596899737312318
0,-45.0,1,3,-0.016372008156261632
0,-45.0,2,0,-0.08595646378688873
0,-45.0,2,1,0.025596899737312318
0,-45.0,2,2,0.20131835536953965
0,-45.0,2,3,0.05337433660207374
0,-45.0,3,0,-0.10519785651689739
0,-45.0,3,1,-0.016372008156261632
0,-45.0,3,2,0.05337433660207374
0,-45.0,3,3,0.2554633873355451
0,-30.0,0,0,0.21278669563817593
0,-30.0,0,1,0.0702608763384083
0,-30.0,0,2,-0.05527668445510839
0,-30.0,0,3,-0.06999099041516606
0,-30.0,1,0,0.0702608763384083
0,-30.0,1,1,0.092400925614033
0,-30.0,1,2,0.027389268403003646
