model_seed,metric,angle_a,angle_b,factor_gap,category,distance
0,centroid,-75.0,-60.0,15.0,near,0.1805445661495371
0,centroid,-75.0,-45.0,30.0,near,0.4799790899022952
0,centroid,-75.0,-30.0,45.0,mid,0.7478680382707774
0,centroid,-75.0,-15.0,60.0,mid,0.8465085765542003
0,centroid,-75.0,0.0,75.0,mid,0.8654696081258223
0,centroid,-75.0,15.0,90.0,far,0.8317946194982699
0,centroid,-75.0,30.0,105.0,far,0.7361880159389603
0,centroid,-75.0,45.0,120.0,far,0.536572607240061
0,centroid,-75.0,60.0,135.0,far,0.3357842958920596
0,centroid,-75.0,75.0,150.0,far,0.18352587805942702
0,centroid,-60.0,-45.0,15.0,near,0.32216364288221144
0,centroid,-60.0,-30.0,30.0,near,0.6349033611333909
0,centroid,-60.0,-15.0,45.0,mid,0.7757497676766988
0,centroid,-60.0,0.0,60.0,mid,0.8181897001126338
0,centroid,-60.0,15.0,75.0,mid,0.7993306557339365
0,centroid,-60.0,30.0,90.0,far,0.7183561427708784
0,centroid,-60.0,45.0,105.0,far,0.57086687015111
0,centroid,-60.0,60.0,120.0,far,0.4212968150021198
0,centroid,-60.0,75.0,135.0,far,0.2795517783055427
0,centroid,-45.0,-30.0,15.0,near,0.35948908720515504
0,centroid,-45.0,-15.0,30.0,near,0.5608043799141949
0,centroid,-45.0,0.0,45.0,mid,0.6418996491572458
0,centroid,-45.0,15.0,60.0,mid,0.6507714682981367
0,centroid,-45.0,30.0,75.0,mid,0.6110216336592104
0,centroid,-45.0,45.0,90.0,far,0.5937255196044495
0,centroid,-45.0,60.0,105.0,far,0.5665643345063409
0,centroid,-45.0,75.0,120.0,far,0.4919279334050651
0,centroid,-30.0,-15.0,15.0,near,0.24214196984544734
0,centroid,-30.0,0.0,30.0,near,0.3569005399510473
0,centroid,-30.0,15.0,45.0,mid,0.4056417916717029
0,centroid,-30.0,30.0,60.0,mid,0.4495515755571376
0,centroid,-30.0,45.0,75.0,mid,0.6061528095667953
0,centroid,-30.0,60.0,90.0,far,0.704319574904262
0,centroid,-30.0,75.0,105.0,far,0.7080657481280854
0,centroid,-15.0,0.0,15.0,near,0.12472002144692387
0,centroid,-15.0,15.0,30.0,near,0.20134118739587265
0,centroid,-15.0,30.0,45.0,mid,0.31757561743090096
0,centroid,-15.0,45.0,60.0,mid,0.5639109213025382
0,centroid,-15.0,60.0,75.0,mid,0.72342410897041
0,centroid,-15.0,75.0,90.0,far,0.777134384375145
0,centroid,0.0,15.0,15.0,near,0.10084459198459725
0,centroid,0.0,30.0,30.0,near,0.255814961929154
0,centroid,0.0,45.0,45.0,mid,0.52550309100174
0,centroid,0.0,60.0,60.0,mid,0.7066583214104966
0,centroid,0.0,75.0,75.0,mid,0.7837362564653647
0,centroid,15.0,30.0,15.0,near,0.16431701229559334
0,centroid,15.0,45.0,30.0,near,0.44308712199998185
0,centroid,15.0,60.0,45.0,mid,0.6402650210128241
0,centroid,15.0,75.0,60.0,mid,0.733801901306103
0,centroid,30.0,45.0,15.0,near,0.29082899921857347
0,centroid,30.0,60.0,30.0,near,0.5057517147103583
0,centroid,30.0,75.0,45.0,mid,0.6161507978849152
0,centroid,45.0,60.0,15.0,near,0.2369830833544394
0,centroid,45.0,75.0,30.0,near,0.38268657520839544
0,centroid,60.0,75.0,15.0,near,0.16924076668924873
0,log_euclidean,-75.0,-60.0,15.0,near,0.5064694820753509
0,log_euclidean,-75.0,-45.0,30.0,near,0.9835033313361753
0,log_euclidean,-75.0,-30.0,45.0,mid,1.1398692776991262
0,log_euclidean,-75.0,-15.0,60.0,mid,0.9443866806928407
0,log_euclidean,-75.0,0.0,75.0,mid,0.8167364091056647
0,log_euclidean,-75.0,15.0,90.0,far,0.9083463213441666
0,log_euclidean,-75.0,30.0,105.0,far,1.0066576194532963
