model_seed,method,angle,host,baseline_accuracy,ablated_accuracy,accuracy_drop,is_top_host,is_random_control
0,r0_mlp,-75.0,0,0.2641509433962264,0.29245283018867924,-0.028301886792452824,0,0
0,r0_mlp,-75.0,1,0.2641509433962264,0.29245283018867924,-0.028301886792452824,0,0
0,r0_mlp,-75.0,2,0.2641509433962264,0.25471698113207547,0.009433962264150941,0,1
0,r0_mlp,-75.0,3,0.2641509433962264,0.2358490566037736,0.028301886792452824,1,0
0,r0_mlp,-60.0,0,0.2830188679245283,0.2830188679245283,0.0,0,0
0,r0_mlp,-60.0,1,0.2830188679245283,0.27358490566037735,0.009433962264150941,0,1
0,r0_mlp,-60.0,2,0.2830188679245283,0.25471698113207547,0.028301886792452824,0,0
0,r0_mlp,-60.0,3,0.2830188679245283,0.2830188679245283,0.0,1,0
0,r0_mlp,-45.0,0,0.41509433962264153,0.42452830188679247,-0.009433962264150941,0,0
0,r0_mlp,-45.0,1,0.41509433962264153,0.4339622641509434,-0.018867924528301883,0,0
0,r0_mlp,-45.0,2,0.41509433962264153,0.42452830188679247,-0.009433962264150941,0,0
0,r0_mlp,-45.0,3,0.41509433962264153,0.44339622641509435,-0.028301886792452824,1,1
0,r0_mlp,-30.0,0,0.6226415094339622,0.6509433962264151,-0.028301886792452824,0,0
0,r0_mlp,-30.0,1,0.6226415094339622,0.6132075471698113,0.009433962264150941,0,0
0,r0_mlp,-30.0,2,0.6226415094339622,0.6226415094339622,0.0,0,1
0,r0_mlp,-30.0,3,0.6226415094339622,0.6132075471698113,0.009433962264150941,1,0
0,r0_mlp,-15.0,0,0.8490566037735849,0.839622641509434,0.009433962264150941,0,0
0,r0_mlp,-15.0,1,0.8490566037735849,0.8301886792452831,0.018867924528301883,0,1
0,r0_mlp,-15.0,2,0.8490566037735849,0.8301886792452831,0.018867924528301883,0,0
0,r0_mlp,-15.0,3,0.8490566037735849,0.8301886792452831,0.018867924528301883,1,0
0,r0_mlp,0.0,0,0.8962264150943396,0.8962264150943396,0.0,0,0
0,r0_mlp,0.0,1,0.8962264150943396,0.9056603773584906,-0.009433962264150941,0,0
0,r0_mlp,0.0,2,0.8962264150943396,0.8962264150943396,0.0,0,1
0,r0_mlp,0.0,3,0.8962264150943396,0.8867924528301887,0.009433962264150941,1,0
0,r0_mlp,15.0,0,0.8773584905660378,0.8679245283018868,0.009433962264150941,0,0
0,r0_mlp,15.0,1,0.8773584905660378,0.8773584905660378,0.0,0,0
