model_seed,method,scale,nominal_csr,nominal_csr_ci_low,nominal_csr_ci_high,functional_csr,functional_csr_ci_low,functional_csr_ci_high,dmr,dmr_ci_low,dmr_ci_high,prediction_preservation,prediction_preservation_ci_low,prediction_preservation_ci_high,mean_true_class_log_prob_change
1,r0_mlp,-0.5,0.6295561266116367,0.5350648976219663,0.7379506784661448,0.3922105736918241,0.2624838425921599,0.5381706612461494,0.5571188339851179,0.497482612783016,0.6296007772365559,1.0,1.0,1.0,0.00023332141550644388
1,r0_mlp,-0.25,0.5880306755666139,0.5116472069409271,0.6743607652741764,0.09190554198544555,0.03509869224666389,0.17451565492637047,0.5571188339851179,0.497482612783016,0.6296007772365559,1.0,1.0,1.0,0.00035869767713659213
1,r0_mlp,0.0,1.0000000476979785,1.0000000312106723,1.000000065621118,0.9999999944375951,0.9999999812499502,1.0000000071684083,0.5571188339851179,0.497482612783016,0.6296007772365559,1.0,1.0,1.0,5.34192571100199e-09
1,r0_mlp,0.25,0.5450008241717278,0.4912070306633768,0.604943258725589,0.009854236716767932,0.0016859173658743257,0.022877768593678707,0.5571188339851179,0.497482612783016,0.6296007772365559,1.0,1.0,1.0,-0.0007247612020879422
1,r0_mlp,0.5,0.5575941417695945,0.5038200588839032,0.6185896050223543,0.28321033718389366,0.1959374444168028,0.37761508152012146,0.5571188339851179,0.497482612783016,0.6296007772365559,1.0,1.0,1.0,-0.001611891431066225
1,r1_linear,-0.5,1.168867159658497,1.1299316229199516,1.208432880437793,1.3377865066646342,1.2488780813109723,1.4340159213863382,1.1147537470954247,1.0893952093575692,1.1410150430135166,1.0,1.0,1.0,0.0004953292883792014
1,r1_linear,-0.25,1.1458301951514618,1.1134312735297018,1.1767372322384368,1.2526431338292996,1.0259797439022988,1.5484469299814185,1.1147537470954247,1.0893952093575692,1.1410150430135166,1.0,1.0,1.0,0.0005317354609943786
1,r1_linear,0.0,1.000000055205988,1.0000000357140368,1.0000000727943608,0.9999999959478115,0.9999999857587109,1.0000000060747825,1.1147537470954247,1.0893952093575692,1.1410150430135166,1.0,1.0,1.0,9.840389467635245e-10
1,r1_linear,0.25,1.0810056500387928,1.0545391699562638,1.1069909738360915,1.1951625052243244,1.0148299882522884,1.4180338709822344,1.1147537470954247,1.0893952093575692,1.1410150430135166,1.0,1.0,1.0,-0.0010865115613307593
1,r1_linear,0.5,1.0511668755545853,1.018642234798295,1.082302208222895,1.0811104262683158,1.0189479719198986,1.1380391391322164,1.1147537470954247,1.0893952093575692,1.1410150430135166,1.0,1.0,1.0,-0.0024573029774539877
1,r2_prototype_energy,-0.5,1.1823226399188054,1.103377667424104,1.268404066751933,1.2957898523001108,1.1774093784114477,1.4201680551133864,1.0618577404357443,1.0057273817784016,1.1224880424394341,0.9622641509433962,0.9245283018867925,0.9905660377358491,0.01652399912687405
1,r2_prototype_energy,-0.25,1.1345835170361156,1.0643625973790798,1.2056126771171065,1.235515811200698,1.1220696852114138,1.3618558267950067,1.0618577404357443,1.0057273817784016,1.1224880424394341,0.9905660377358491,0.9716981132075472,1.0,0.010215446423247175
1,r2_prototype_energy,0.0,0.9999999758971363,0.0,1.0,0.999999996292501,0.9999999864020915,1.0000000063516452,1.0618577404357443,1.0057273817784016,1.1224880424394341,1.0,1.0,1.0,0.0
1,r2_prototype_energy,0.25,0.9858863883813151,0.9364284812564808,1.035767057467643,1.0137648513076931,0.943317272912236,1.0824708144853028,1.0618577404357443,1.0057273817784016,1.1224880424394341,0.9905660377358491,0.9716981132075472,1.0,-0.0108828890787543
1,r2_prototype_energy,0.5,0.9274207602798867,0.8714267101537063,0.9842319428750377,0.9133606939235887,0.8322912841149258,0.9952148664575655,1.0618577404357443,1.0057273817784016,1.1224880424394341,0.9905660377358491,0.9716981132075472,1.0,-0.021198368051423215
1,r3_hybrid_energy,-0.5,0.8697950972065567,0.7915942477791343,0.9490975806851953,0.846817688764471,0.7501684494876871,0.9540517817506179,0.8516124933725077,0.7822294538671485,0.9208595993348382,1.0,1.0,1.0,-0.0003027232750406805
1,r3_hybrid_energy,-0.25,0.8563287181315163,0.7786221967831901,0.9349258763473305,0.8342925153620964,0.7400044456978246,0.92978849609452,0.8516124933725077,0.7822294538671485,0.9208595993348382,1.0,1.0,1.0,-0.0015767051153025538
1,r3_hybrid_energy,0.0,1.0,0.0,1.0,1.0000000004996772,0.9999999885405213,1.0000000120789685,0.8516124933725077,0.7822294538671485,0.9208595993348382,1.0,1.0,1.0,-1.6869239087374706e-09
1,r3_hybrid_energy,0.25,0.8536534105878768,0.7847719001277651,0.9229913338096369,0.8554829773027861,0.7679195827751331,0.9408312094867242,0.8516124933725077,0.7822294538671485,0.9208595993348382,1.0,1.0,1.0,0.0016704203104073146
1,r3_hybrid_energy,0.5,0.8616115987743291,0.7979093743348716,0.9274532371549294,0.8595755546072213,0.772131673392681,0.9477140940402345,0.8516124933725077,0.7822294538671485,0.9208595993348382,1.0,1.0,1.0,0.0015236988733961898
