model_seed,method,angle,host,mean_route_mass,host_specialization
1,r0_mlp,-75.0,0,0.45034581422805786,0.0029751062393188477
1,r0_mlp,-75.0,1,0.1733269989490509,0.005116105079650879
1,r0_mlp,-75.0,2,0.132597416639328,0.0019080042839050293
1,r0_mlp,-75.0,3,0.24372979998588562,0.00019431114196777344
1,r0_mlp,-60.0,0,0.41726937890052795,0.0029751062393188477
1,r0_mlp,-60.0,1,0.19815796613693237,0.005116105079650879
1,r0_mlp,-60.0,2,0.14282329380512238,0.0019080042839050293
1,r0_mlp,-60.0,3,0.2417493611574173,0.00019431114196777344
1,r0_mlp,-45.0,0,0.3759891986846924,0.0029751062393188477
1,r0_mlp,-45.0,1,0.22319252789020538,0.005116105079650879
1,r0_mlp,-45.0,2,0.15629538893699646,0.0019080042839050293
1,r0_mlp,-45.0,3,0.24452289938926697,0.00019431114196777344
1,r0_mlp,-30.0,0,0.33684051036834717,0.0029751062393188477
1,r0_mlp,-30.0,1,0.24615781009197235,0.005116105079650879
1,r0_mlp,-30.0,2,0.16907382011413574,0.0019080042839050293
1,r0_mlp,-30.0,3,0.24792790412902832,0.00019431114196777344
1,r0_mlp,-15.0,0,0.32580989599227905,0.0029751062393188477
1,r0_mlp,-15.0,1,0.24880723655223846,0.005116105079650879
1,r0_mlp,-15.0,2,0.17314216494560242,0.0019080042839050293
1,r0_mlp,-15.0,3,0.25224071741104126,0.00019431114196777344
1,r0_mlp,0.0,0,0.32762855291366577,0.0029751062393188477
1,r0_mlp,0.0,1,0.24356766045093536,0.005116105079650879
1,r0_mlp,0.0,2,0.17288805544376373,0.0019080042839050293
1,r0_mlp,0.0,3,0.2559157609939575,0.00019431114196777344
1,r0_mlp,15.0,0,0.3445765972137451,0.0029751062393188477
1,r0_mlp,15.0,1,0.22752892971038818,0.005116105079650879
1,r0_mlp,15.0,2,0.16797609627246857,0.0019080042839050293
1,r0_mlp,15.0,3,0.2599183917045593,0.00019431114196777344
1,r0_mlp,30.0,0,0.3745003640651703,0.0029751062393188477
1,r0_mlp,30.0,1,0.20381543040275574,0.005116105079650879
1,r0_mlp,30.0,2,0.15902745723724365,0.0019080042839050293
1,r0_mlp,30.0,3,0.2626567482948303,0.00019431114196777344
1,r0_mlp,45.0,0,0.4134744703769684,0.0029751062393188477
1,r0_mlp,45.0,1,0.17499865591526031,0.005116105079650879
1,r0_mlp,45.0,2,0.1472473442554474,0.0019080042839050293
1,r0_mlp,45.0,3,0.2642795443534851,0.00019431114196777344
1,r0_mlp,60.0,0,0.4394521713256836,0.0029751062393188477
1,r0_mlp,60.0,1,0.1610923558473587,0.005116105079650879
1,r0_mlp,60.0,2,0.13828487694263458,0.0019080042839050293
1,r0_mlp,60.0,3,0.26117056608200073,0.00019431114196777344
1,r0_mlp,75.0,0,0.4428778290748596,0.0029751062393188477
1,r0_mlp,75.0,1,0.16549333930015564,0.005116105079650879
1,r0_mlp,75.0,2,0.13586334884166718,0.0019080042839050293
1,r0_mlp,75.0,3,0.25576549768447876,0.00019431114196777344
1,r1_linear,-75.0,0,0.2230260819196701,0.002709805965423584
1,r1_linear,-75.0,1,0.2801288068294525,0.0009627342224121094
1,r1_linear,-75.0,2,0.2321154624223709,0.0018124580383300781
1,r1_linear,-75.0,3,0.2647295892238617,0.0019837021827697754
1,r1_linear,-60.0,0,0.2030545026063919,0.002709805965423584
1,r1_linear,-60.0,1,0.274833619594574,0.0009627342224121094
1,r1_linear,-60.0,2,0.2408885955810547,0.0018124580383300781
1,r1_linear,-60.0,3,0.28122326731681824,0.0019837021827697754
1,r1_linear,-45.0,0,0.1962668001651764,0.002709805965423584
1,r1_linear,-45.0,1,0.2814497947692871,0.0009627342224121094
