model_seed,method,source_index,scale,nominal_tangent_change,nominal_orthogonal_change,functional_tangent_change,functional_orthogonal_change,tangent_jacobian_sensitivity,orthogonal_jacobian_sensitivity,prediction_preserved,true_class_log_prob_change
1,r0_mlp,3316,-0.5,0.023650789633393288,0.033218950033187866,0.018001457676291466,0.02934196963906288,0.03820912539958954,0.10039591789245605,1,0.018204212188720703
1,r0_mlp,354,-0.5,0.05077832192182541,0.020139819011092186,0.060050249099731445,0.013995313085615635,0.11178948730230331,0.04669520631432533,1,-0.013719931244850159
1,r0_mlp,1021,-0.5,0.008082724176347256,0.026936236768960953,6.778145689168014e-07,0.02436050958931446,0.06348524242639542,0.06371874362230301,1,-0.005918145179748535
1,r0_mlp,9593,-0.5,0.0255715474486351,0.024173907935619354,0.01402996014803648,0.018902096897363663,0.030941534787416458,0.06797465682029724,1,-0.0020202025771141052
1,r0_mlp,8963,-0.5,0.055248554795980453,0.02688579633831978,0.0676618441939354,0.021470971405506134,0.1218787431716919,0.07301516085863113,1,-0.006677791476249695
1,r0_mlp,2629,-0.5,0.015885768458247185,0.04643544927239418,9.168658289127052e-05,0.04988670349121094,0.06495243310928345,0.14255967736244202,1,-0.005778402090072632
1,r0_mlp,1781,-0.5,0.03089282661676407,0.025897258892655373,0.025699788704514503,0.020095523446798325,0.05339280515909195,0.0806736946105957,1,0.002051740884780884
1,r0_mlp,3977,-0.5,0.018277853727340698,0.04665399342775345,0.0002973744703922421,0.04985634982585907,0.06883388012647629,0.1433938890695572,1,0.0019275844097137451
1,r0_mlp,2622,-0.5,0.007871498353779316,0.027533024549484253,5.53197537556116e-07,0.024355364963412285,0.06195960193872452,0.06917248666286469,1,-0.003719508647918701
1,r0_mlp,6753,-0.5,0.011349563486874104,0.035862840712070465,9.705643606139347e-06,0.03252682834863663,0.025946587324142456,0.11573662608861923,1,-2.092123031616211e-05
1,r0_mlp,7358,-0.5,0.004004783928394318,0.029313907027244568,4.396194697164901e-08,0.022775571793317795,0.024813411757349968,0.09539961814880371,1,8.609890937805176e-05
1,r0_mlp,1653,-0.5,0.011682101525366306,0.0461239330470562,1.0938587365671992e-05,0.050010796636343,0.05192890390753746,0.142472505569458,1,0.002018362283706665
1,r0_mlp,7365,-0.5,0.016177404671907425,0.044262662529945374,8.638633880764246e-05,0.049927446991205215,0.07948129624128342,0.13370691239833832,1,0.009707093238830566
1,r0_mlp,1171,-0.5,0.007759039290249348,0.027169089764356613,4.913476914225612e-07,0.024646978825330734,0.06100006774067879,0.06376353651285172,1,-0.004605978727340698
1,r0_mlp,5714,-0.5,0.009294252842664719,0.05284205451607704,6.138400863164861e-07,0.06151366978883743,0.036984533071517944,0.16088666021823883,1,-0.0075109004974365234
1,r0_mlp,539,-0.5,0.036545611917972565,0.02064148709177971,0.041536517441272736,0.019405152648687363,0.07436888664960861,0.06466831266880035,1,0.006923839449882507
1,r0_mlp,9134,-0.5,0.016758274286985397,0.04645972698926926,0.0001971193851204589,0.04965921863913536,0.05476130545139313,0.14549298584461212,1,-8.136779069900513e-05
1,r0_mlp,4757,-0.5,0.015763208270072937,0.043012894690036774,0.00011592536611715332,0.04404151439666748,0.04735000804066658,0.13561925292015076,1,0.0002595260739326477
1,r0_mlp,4952,-0.5,0.014019999653100967,0.03632234036922455,2.195697743445635e-05,0.036667607724666595,0.037419311702251434,0.11433617770671844,1,-0.0025977343320846558
1,r0_mlp,6384,-0.5,0.01154440175741911,0.0421040840446949,9.007119956550014e-07,0.044382136315107346,0.027689490467309952,0.1369410902261734,1,-0.014884889125823975
1,r0_mlp,8511,-0.5,0.04151745140552521,0.02089017443358898,0.04115612432360649,0.014157434925436974,0.08155109733343124,0.058955587446689606,1,-0.0055620670318603516
1,r0_mlp,3837,-0.5,0.012449575588107109,0.042592667043209076,4.339066890679533e-06,0.04635321721434593,0.033433154225349426,0.13298232853412628,1,-0.0008044540882110596
1,r0_mlp,401,-0.5,0.01152807381004095,0.040893372148275375,7.494300461985404e-06,0.0447886697947979,0.06730829179286957,0.1241510882973671,1,0.00725167989730835
1,r0_mlp,558,-0.5,0.04381175711750984,0.02388899400830269,0.04315408319234848,0.021255187690258026,0.11211825907230377,0.07841474562883377,1,-0.0012499094009399414
1,r0_mlp,7355,-0.5,0.007339353673160076,0.028219521045684814,2.6377045969638857e-07,0.024857500568032265,0.05484617501497269,0.0709887444972992,1,-0.001875460147857666
1,r0_mlp,9468,-0.5,0.011999282985925674,0.04521750286221504,1.04236514744116e-05,0.05178919434547424,0.06501855701208115,0.13742485642433167,1,0.00024242699146270752
1,r0_mlp,1067,-0.5,0.014656005427241325,0.04721537604928017,5.192021490074694e-05,0.05095933377742767,0.062157172709703445,0.1450086236000061,1,-0.001818329095840454
1,r0_mlp,1080,-0.5,0.045809198170900345,0.01747249625623226,0.0475376732647419,0.004004536662250757,0.09606076031923294,0.04337899386882782,1,0.0070639848709106445
1,r0_mlp,2623,-0.5,0.016067244112491608,0.043459244072437286,0.00011359975906088948,0.04471132159233093,0.05136476084589958,0.13496458530426025,1,-0.0037649571895599365
1,r0_mlp,7274,-0.5,0.01449329499155283,0.041937172412872314,0.00012054262333549559,0.04372572526335716,0.04765011742711067,0.1297542005777359,1,0.00021221861243247986
