model_seed,method,angle,host,mean_route_mass,host_specialization
4,r0_mlp,-75.0,0,0.16254019737243652,0.004266679286956787
4,r0_mlp,-75.0,1,0.523829460144043,0.00503164529800415
4,r0_mlp,-75.0,2,0.14196841418743134,0.0030246376991271973
4,r0_mlp,-75.0,3,0.17166192829608917,0.0013762712478637695
4,r0_mlp,-60.0,0,0.1758788377046585,0.004266679286956787
4,r0_mlp,-60.0,1,0.4932093620300293,0.00503164529800415
4,r0_mlp,-60.0,2,0.1548261046409607,0.0030246376991271973
4,r0_mlp,-60.0,3,0.1760856807231903,0.0013762712478637695
4,r0_mlp,-45.0,0,0.20238228142261505,0.004266679286956787
4,r0_mlp,-45.0,1,0.43269968032836914,0.00503164529800415
4,r0_mlp,-45.0,2,0.1776425540447235,0.0030246376991271973
4,r0_mlp,-45.0,3,0.1872754991054535,0.0013762712478637695
4,r0_mlp,-30.0,0,0.22842571139335632,0.004266679286956787
4,r0_mlp,-30.0,1,0.37452155351638794,0.00503164529800415
4,r0_mlp,-30.0,2,0.19350235164165497,0.0030246376991271973
4,r0_mlp,-30.0,3,0.20355036854743958,0.0013762712478637695
4,r0_mlp,-15.0,0,0.24190497398376465,0.004266679286956787
4,r0_mlp,-15.0,1,0.34375467896461487,0.00503164529800415
4,r0_mlp,-15.0,2,0.20104196667671204,0.0030246376991271973
4,r0_mlp,-15.0,3,0.21329836547374725,0.0013762712478637695
4,r0_mlp,0.0,0,0.24596810340881348,0.004266679286956787
4,r0_mlp,0.0,1,0.33558517694473267,0.00503164529800415
4,r0_mlp,0.0,2,0.20153221487998962,0.0030246376991271973
4,r0_mlp,0.0,3,0.21691448986530304,0.0013762712478637695
4,r0_mlp,15.0,0,0.24041524529457092,0.004266679286956787
4,r0_mlp,15.0,1,0.3474392592906952,0.00503164529800415
4,r0_mlp,15.0,2,0.19497671723365784,0.0030246376991271973
4,r0_mlp,15.0,3,0.21716880798339844,0.0013762712478637695
4,r0_mlp,30.0,0,0.22460047900676727,0.004266679286956787
4,r0_mlp,30.0,1,0.37948358058929443,0.00503164529800415
4,r0_mlp,30.0,2,0.1846391260623932,0.0030246376991271973
4,r0_mlp,30.0,3,0.2112767994403839,0.0013762712478637695
4,r0_mlp,45.0,0,0.20263008773326874,0.004266679286956787
4,r0_mlp,45.0,1,0.42709723114967346,0.00503164529800415
4,r0_mlp,45.0,2,0.16688664257526398,0.0030246376991271973
4,r0_mlp,45.0,3,0.20338599383831024,0.0013762712478637695
4,r0_mlp,60.0,0,0.18072104454040527,0.004266679286956787
4,r0_mlp,60.0,1,0.4759444296360016,0.00503164529800415
4,r0_mlp,60.0,2,0.15263031423091888,0.0030246376991271973
4,r0_mlp,60.0,3,0.19070422649383545,0.0013762712478637695
4,r0_mlp,75.0,0,0.17158243060112,0.004266679286956787
4,r0_mlp,75.0,1,0.49522510170936584,0.00503164529800415
4,r0_mlp,75.0,2,0.15175050497055054,0.0030246376991271973
4,r0_mlp,75.0,3,0.18144194781780243,0.0013762712478637695
