model_seed,method,angle,host,mean_route_mass,host_specialization
3,r0_mlp,-75.0,0,0.10324354469776154,0.003276050090789795
3,r0_mlp,-75.0,1,0.31505057215690613,0.00013083219528198242
3,r0_mlp,-75.0,2,0.20752879977226257,0.0032331347465515137
3,r0_mlp,-75.0,3,0.3741770386695862,0.004527390003204346
3,r0_mlp,-60.0,0,0.11564537137746811,0.003276050090789795
3,r0_mlp,-60.0,1,0.3192971646785736,0.00013083219528198242
3,r0_mlp,-60.0,2,0.23378515243530273,0.0032331347465515137
3,r0_mlp,-60.0,3,0.33127230405807495,0.004527390003204346
3,r0_mlp,-45.0,0,0.1328330934047699,0.003276050090789795
3,r0_mlp,-45.0,1,0.32628583908081055,0.00013083219528198242
3,r0_mlp,-45.0,2,0.2613389194011688,0.0032331347465515137
3,r0_mlp,-45.0,3,0.27954214811325073,0.004527390003204346
3,r0_mlp,-30.0,0,0.14473089575767517,0.003276050090789795
3,r0_mlp,-30.0,1,0.33066022396087646,0.00013083219528198242
3,r0_mlp,-30.0,2,0.27432894706726074,0.0032331347465515137
3,r0_mlp,-30.0,3,0.25027996301651,0.004527390003204346
3,r0_mlp,-15.0,0,0.14561206102371216,0.003276050090789795
3,r0_mlp,-15.0,1,0.3328358232975006,0.00013083219528198242
3,r0_mlp,-15.0,2,0.2676241397857666,0.0032331347465515137
3,r0_mlp,-15.0,3,0.253928005695343,0.004527390003204346
3,r0_mlp,0.0,0,0.1407996416091919,0.003276050090789795
3,r0_mlp,0.0,1,0.3362215757369995,0.00013083219528198242
3,r0_mlp,0.0,2,0.2502283453941345,0.0032331347465515137
3,r0_mlp,0.0,3,0.2727504372596741,0.004527390003204346
3,r0_mlp,15.0,0,0.13324257731437683,0.003276050090789795
3,r0_mlp,15.0,1,0.34057992696762085,0.00013083219528198242
3,r0_mlp,15.0,2,0.22931644320487976,0.0032331347465515137
3,r0_mlp,15.0,3,0.29686102271080017,0.004527390003204346
3,r0_mlp,30.0,0,0.12309470027685165,0.003276050090789795
3,r0_mlp,30.0,1,0.33929139375686646,0.00013083219528198242
3,r0_mlp,30.0,2,0.20957227051258087,0.0032331347465515137
3,r0_mlp,30.0,3,0.3280416429042816,0.004527390003204346
3,r0_mlp,45.0,0,0.1138707771897316,0.003276050090789795
3,r0_mlp,45.0,1,0.3349611163139343,0.00013083219528198242
3,r0_mlp,45.0,2,0.1953279674053192,0.0032331347465515137
3,r0_mlp,45.0,3,0.35584014654159546,0.004527390003204346
3,r0_mlp,60.0,0,0.10675930976867676,0.003276050090789795
3,r0_mlp,60.0,1,0.32659560441970825,0.00013083219528198242
3,r0_mlp,60.0,2,0.1927931010723114,0.0032331347465515137
3,r0_mlp,60.0,3,0.3738519847393036,0.004527390003204346
3,r0_mlp,75.0,0,0.10384559631347656,0.003276050090789795
3,r0_mlp,75.0,1,0.31904107332229614,0.00013083219528198242
3,r0_mlp,75.0,2,0.20275691151618958,0.0032331347465515137
3,r0_mlp,75.0,3,0.3743564188480377,0.004527390003204346
3,r1_linear,-75.0,0,0.3304682970046997,0.001064002513885498
3,r1_linear,-75.0,1,0.3025071620941162,0.002517402172088623
3,r1_linear,-75.0,2,0.20601165294647217,0.0025795698165893555
3,r1_linear,-75.0,3,0.16101287305355072,4.363059997558594e-05
3,r1_linear,-60.0,0,0.3097589612007141,0.001064002513885498
3,r1_linear,-60.0,1,0.3356887400150299,0.002517402172088623
3,r1_linear,-60.0,2,0.19095782935619354,0.0025795698165893555
3,r1_linear,-60.0,3,0.16359448432922363,4.363059997558594e-05
3,r1_linear,-45.0,0,0.2866848409175873,0.001064002513885498
3,r1_linear,-45.0,1,0.3788117468357086,0.002517402172088623
3,r1_linear,-45.0,2,0.16791458427906036,0.0025795698165893555
3,r1_linear,-45.0,3,0.16658882796764374,4.363059997558594e-05
3,r1_linear,-30.0,0,0.27470722794532776,0.001064002513885498
3,r1_linear,-30.0,1,0.4060547947883606,0.002517402172088623
3,r1_linear,-30.0,2,0.1526891589164734,0.0025795698165893555
3,r1_linear,-30.0,3,0.16654889285564423,4.363059997558594e-05
3,r1_linear,-15.0,0,0.2804710865020752,0.001064002513885498
3,r1_linear,-15.0,1,0.40323448181152344,0.002517402172088623
3,r1_linear,-15.0,2,0.15058095753192902,0.0025795698165893555
3,r1_linear,-15.0,3,0.16571351885795593,4.363059997558594e-05
3,r1_linear,0.0,0,0.2922283709049225,0.001064002513885498
3,r1_linear,0.0,1,0.3885200619697571,0.002517402172088623
3,r1_linear,0.0,2,0.15498287975788116,0.0025795698165893555
3,r1_linear,0.0,3,0.16426873207092285,4.363059997558594e-05
