model_seed,method,angle,host,mean_route_mass,host_specialization
0,r0_mlp,-75.0,0,0.14070893824100494,0.003139674663543701
0,r0_mlp,-75.0,1,0.38977140188217163,0.00013703107833862305
0,r0_mlp,-75.0,2,0.1786646544933319,0.000943601131439209
0,r0_mlp,-75.0,3,0.2908550202846527,0.0001798868179321289
0,r0_mlp,-60.0,0,0.14563366770744324,0.003139674663543701
0,r0_mlp,-60.0,1,0.3884071707725525,0.00013703107833862305
0,r0_mlp,-60.0,2,0.16730529069900513,0.000943601131439209
0,r0_mlp,-60.0,3,0.29865390062332153,0.0001798868179321289
0,r0_mlp,-45.0,0,0.16368648409843445,0.003139674663543701
0,r0_mlp,-45.0,1,0.37868261337280273,0.00013703107833862305
0,r0_mlp,-45.0,2,0.15701758861541748,0.000943601131439209
0,r0_mlp,-45.0,3,0.30061331391334534,0.0001798868179321289
0,r0_mlp,-30.0,0,0.18339264392852783,0.003139674663543701
0,r0_mlp,-30.0,1,0.3694702684879303,0.00013703107833862305
0,r0_mlp,-30.0,2,0.15026089549064636,0.000943601131439209
0,r0_mlp,-30.0,3,0.2968762516975403,0.0001798868179321289
0,r0_mlp,-15.0,0,0.19668033719062805,0.003139674663543701
0,r0_mlp,-15.0,1,0.3649059534072876,0.00013703107833862305
0,r0_mlp,-15.0,2,0.15053412318229675,0.000943601131439209
0,r0_mlp,-15.0,3,0.2878795564174652,0.0001798868179321289
0,r0_mlp,0.0,0,0.20110905170440674,0.003139674663543701
0,r0_mlp,0.0,1,0.3658207952976227,0.00013703107833862305
0,r0_mlp,0.0,2,0.15145035088062286,0.000943601131439209
0,r0_mlp,0.0,3,0.2816197872161865,0.0001798868179321289
0,r0_mlp,15.0,0,0.19427178800106049,0.003139674663543701
0,r0_mlp,15.0,1,0.37265700101852417,0.00013703107833862305
0,r0_mlp,15.0,2,0.15455138683319092,0.000943601131439209
0,r0_mlp,15.0,3,0.27851971983909607,0.0001798868179321289
0,r0_mlp,30.0,0,0.17934758961200714,0.003139674663543701
0,r0_mlp,30.0,1,0.3824508786201477,0.00013703107833862305
0,r0_mlp,30.0,2,0.15959155559539795,0.000943601131439209
0,r0_mlp,30.0,3,0.2786099910736084,0.0001798868179321289
0,r0_mlp,45.0,0,0.16315194964408875,0.003139674663543701
0,r0_mlp,45.0,1,0.38941532373428345,0.00013703107833862305
0,r0_mlp,45.0,2,0.1705087423324585,0.000943601131439209
0,r0_mlp,45.0,3,0.2769239544868469,0.0001798868179321289
0,r0_mlp,60.0,0,0.1531248837709427,0.003139674663543701
0,r0_mlp,60.0,1,0.3905288577079773,0.00013703107833862305
0,r0_mlp,60.0,2,0.1776825189590454,0.000943601131439209
0,r0_mlp,60.0,3,0.2786637544631958,0.0001798868179321289
0,r0_mlp,75.0,0,0.14914599061012268,0.003139674663543701
0,r0_mlp,75.0,1,0.3885731101036072,0.00013703107833862305
0,r0_mlp,75.0,2,0.17806681990623474,0.000943601131439209
0,r0_mlp,75.0,3,0.2842141091823578,0.0001798868179321289
0,r1_linear,-75.0,0,0.3455279469490051,0.0017109513282775879
0,r1_linear,-75.0,1,0.10523591190576553,0.006850123405456543
0,r1_linear,-75.0,2,0.20365968346595764,0.000493466854095459
0,r1_linear,-75.0,3,0.3455764949321747,0.0009914040565490723
0,r1_linear,-60.0,0,0.32464486360549927,0.0017109513282775879
0,r1_linear,-60.0,1,0.10192140191793442,0.006850123405456543
0,r1_linear,-60.0,2,0.20241639018058777,0.000493466854095459
0,r1_linear,-60.0,3,0.37101733684539795,0.0009914040565490723
0,r1_linear,-45.0,0,0.3038952946662903,0.0017109513282775879
0,r1_linear,-45.0,1,0.11333440244197845,0.006850123405456543
0,r1_linear,-45.0,2,0.20572063326835632,0.000493466854095459
0,r1_linear,-45.0,3,0.37704962491989136,0.0009914040565490723
0,r1_linear,-30.0,0,0.28402724862098694,0.0017109513282775879
0,r1_linear,-30.0,1,0.13333451747894287,0.006850123405456543
0,r1_linear,-30.0,2,0.21095629036426544,0.000493466854095459
0,r1_linear,-30.0,3,0.37168192863464355,0.0009914040565490723
0,r1_linear,-15.0,0,0.2734314799308777,0.0017109513282775879
0,r1_linear,-15.0,1,0.15728959441184998,0.006850123405456543
0,r1_linear,-15.0,2,0.2162124365568161,0.000493466854095459
0,r1_linear,-15.0,3,0.35306647419929504,0.0009914040565490723
0,r1_linear,0.0,0,0.26611047983169556,0.0017109513282775879
0,r1_linear,0.0,1,0.17292256653308868,0.006850123405456543
0,r1_linear,0.0,2,0.21994729340076447,0.000493466854095459
0,r1_linear,0.0,3,0.3410196602344513,0.0009914040565490723
0,r1_linear,15.0,0,0.2698901295661926,0.0017109513282775879
0,r1_linear,15.0,1,0.17390871047973633,0.006850123405456543
0,r1_linear,15.0,2,0.2281690090894699,0.000493466854095459
0,r1_linear,15.0,3,0.32803216576576233,0.0009914040565490723
0,r1_linear,30.0,0,0.2815282940864563,0.0017109513282775879
0,r1_linear,30.0,1,0.1631123274564743,0.006850123405456543
0,r1_linear,30.0,2,0.23261351883411407,0.000493466854095459
0,r1_linear,30.0,3,0.3227458596229553,0.0009914040565490723
0,r1_linear,45.0,0,0.306380957365036,0.0017109513282775879
0,r1_linear,45.0,1,0.1508372277021408,0.006850123405456543
0,r1_linear,45.0,2,0.2320972979068756,0.000493466854095459
0,r1_linear,45.0,3,0.3106845021247864,0.0009914040565490723
0,r1_linear,60.0,0,0.32776254415512085,0.0017109513282775879
0,r1_linear,60.0,1,0.1364518702030182,0.006850123405456543
0,r1_linear,60.0,2,0.22578983008861542,0.000493466854095459
0,r1_linear,60.0,3,0.30999574065208435,0.0009914040565490723
0,r1_linear,75.0,0,0.33786067366600037,0.0017109513282775879
0,r1_linear,75.0,1,0.12249624729156494,0.006850123405456543
0,r1_linear,75.0,2,0.2189902812242508,0.000493466854095459
0,r1_linear,75.0,3,0.3206527829170227,0.0009914040565490723
0,r2_prototype_energy,-75.0,0,0.07009667158126831,0.06369674205780029
0,r2_prototype_energy,-75.0,1,0.2916792035102844,0.03803342580795288
0,r2_prototype_energy,-75.0,2,0.5875765681266785,0.1023169755935669
0,r2_prototype_energy,-75.0,3,0.05064753443002701,0.06533938646316528
0,r2_prototype_energy,-60.0,0,0.12232625484466553,0.06369674205780029
0,r2_prototype_energy,-60.0,1,0.1965263932943344,0.03803342580795288
0,r2_prototype_energy,-60.0,2,0.5883178114891052,0.1023169755935669
0,r2_prototype_energy,-60.0,3,0.09282954037189484,0.06533938646316528
0,r2_prototype_energy,-45.0,0,0.2482595443725586,0.06369674205780029
0,r2_prototype_energy,-45.0,1,0.13668742775917053,0.03803342580795288
0,r2_prototype_energy,-45.0,2,0.4449583888053894,0.1023169755935669
0,r2_prototype_energy,-45.0,3,0.17009469866752625,0.06533938646316528
0,r2_prototype_energy,-30.0,0,0.3610222339630127,0.06369674205780029
0,r2_prototype_energy,-30.0,1,0.11426156759262085,0.03803342580795288
0,r2_prototype_energy,-30.0,2,0.25800856947898865,0.1023169755935669
0,r2_prototype_energy,-30.0,3,0.2667076289653778,0.06533938646316528
0,r2_prototype_energy,-15.0,0,0.4013095498085022,0.06369674205780029
0,r2_prototype_energy,-15.0,1,0.14249064028263092,0.03803342580795288
0,r2_prototype_energy,-15.0,2,0.09852437674999237,0.1023169755935669
0,r2_prototype_energy,-15.0,3,0.3576754629611969,0.06533938646316528
0,r2_prototype_energy,0.0,0,0.3653661608695984,0.06369674205780029
0,r2_prototype_energy,0.0,1,0.14790749549865723,0.03803342580795288
0,r2_prototype_energy,0.0,2,0.049302779138088226,0.1023169755935669
0,r2_prototype_energy,0.0,3,0.43742355704307556,0.06533938646316528
0,r2_prototype_energy,15.0,0,0.2947760224342346,0.06369674205780029
0,r2_prototype_energy,15.0,1,0.20258638262748718,0.03803342580795288
0,r2_prototype_energy,15.0,2,0.05166298896074295,0.1023169755935669
0,r2_prototype_energy,15.0,3,0.45097461342811584,0.06533938646316528
0,r2_prototype_energy,30.0,0,0.21396183967590332,0.06369674205780029
0,r2_prototype_energy,30.0,1,0.26837658882141113,0.03803342580795288
0,r2_prototype_energy,30.0,2,0.11642466485500336,0.1023169755935669
0,r2_prototype_energy,30.0,3,0.4012369215488434,0.06533938646316528
