model_seed,method,host_a,host_b,cost
2,r2_prototype_energy,1,3,1.0
2,r2_prototype_energy,2,0,0.723774254322052
2,r2_prototype_energy,2,1,0.9418644905090332
2,r2_prototype_energy,2,2,0.0
2,r2_prototype_energy,2,3,1.1888585090637207
2,r2_prototype_energy,3,0,1.6023441553115845
2,r2_prototype_energy,3,1,1.0
2,r2_prototype_energy,3,2,1.1888585090637207
2,r2_prototype_energy,3,3,0.0
3,r0_mlp,0,0,0.0
3,r0_mlp,0,1,0.9845472574234009
3,r0_mlp,0,2,1.0
3,r0_mlp,0,3,1.0713400840759277
3,r0_mlp,1,0,0.9845472574234009
3,r0_mlp,1,1,0.0
3,r0_mlp,1,2,1.154353380203247
3,r0_mlp,1,3,1.4584429264068604
3,r0_mlp,2,0,1.0
3,r0_mlp,2,1,1.154353380203247
3,r0_mlp,2,2,0.0
3,r0_mlp,2,3,0.9569275975227356
3,r0_mlp,3,0,1.0713400840759277
3,r0_mlp,3,1,1.4584429264068604
3,r0_mlp,3,2,0.9569275975227356
3,r0_mlp,3,3,0.0
3,r1_linear,0,0,0.0
3,r1_linear,0,1,1.1829420328140259
3,r1_linear,0,2,0.6591287851333618
3,r1_linear,0,3,1.0
3,r1_linear,1,0,1.1829420328140259
3,r1_linear,1,1,0.0
3,r1_linear,1,2,0.9158410429954529
3,r1_linear,1,3,1.4253352880477905
3,r1_linear,2,0,0.6591287851333618
3,r1_linear,2,1,0.9158410429954529
3,r1_linear,2,2,0.0
3,r1_linear,2,3,1.2598305940628052
3,r1_linear,3,0,1.0
3,r1_linear,3,1,1.4253352880477905
3,r1_linear,3,2,1.2598305940628052
3,r1_linear,3,3,0.0
3,r2_prototype_energy,0,0,0.0
3,r2_prototype_energy,0,1,1.5654000043869019
3,r2_prototype_energy,0,2,1.0
3,r2_prototype_energy,0,3,1.0557056665420532
3,r2_prototype_energy,1,0,1.5654000043869019
3,r2_prototype_energy,1,1,0.0
3,r2_prototype_energy,1,2,0.933312714099884
3,r2_prototype_energy,1,3,1.0170730352401733
3,r2_prototype_energy,2,0,1.0
3,r2_prototype_energy,2,1,0.933312714099884
3,r2_prototype_energy,2,2,0.0
3,r2_prototype_energy,2,3,0.7229902148246765
3,r2_prototype_energy,3,0,1.0557056665420532
3,r2_prototype_energy,3,1,1.0170730352401733
3,r2_prototype_energy,3,2,0.7229902148246765
3,r2_prototype_energy,3,3,0.0
4,r0_mlp,0,0,0.0
4,r0_mlp,0,1,1.1410964727401733
4,r0_mlp,0,2,1.3674908876419067
4,r0_mlp,0,3,1.2319954633712769
4,r0_mlp,1,0,1.1410964727401733
4,r0_mlp,1,1,0.0
4,r0_mlp,1,2,0.9699167013168335
4,r0_mlp,1,3,1.0
4,r0_mlp,2,0,1.3674908876419067
4,r0_mlp,2,1,0.9699167013168335
4,r0_mlp,2,2,0.0
4,r0_mlp,2,3,0.8512300848960876
4,r0_mlp,3,0,1.2319954633712769
4,r0_mlp,3,1,1.0
4,r0_mlp,3,2,0.8512300848960876
4,r0_mlp,3,3,0.0
4,r1_linear,0,0,0.0
4,r1_linear,0,1,1.066585659980774
4,r1_linear,0,2,1.2764099836349487
4,r1_linear,0,3,1.1654820442199707
4,r1_linear,1,0,1.066585659980774
4,r1_linear,1,1,0.0
4,r1_linear,1,2,0.8918985724449158
4,r1_linear,1,3,1.0
4,r1_linear,2,0,1.2764099836349487
4,r1_linear,2,1,0.8918985724449158
4,r1_linear,2,2,0.0
4,r1_linear,2,3,0.9725039601325989
4,r1_linear,3,0,1.1654820442199707
4,r1_linear,3,1,1.0
4,r1_linear,3,2,0.9725039601325989
4,r1_linear,3,3,0.0
4,r2_prototype_energy,0,0,0.0
4,r2_prototype_energy,0,1,0.7011763453483582
4,r2_prototype_energy,0,2,1.0517816543579102
4,r2_prototype_energy,0,3,1.0
4,r2_prototype_energy,1,0,0.7011763453483582
4,r2_prototype_energy,1,1,0.0
4,r2_prototype_energy,1,2,0.9202880263328552
4,r2_prototype_energy,1,3,1.3718719482421875
4,r2_prototype_energy,2,0,1.0517816543579102
4,r2_prototype_energy,2,1,0.9202880263328552
4,r2_prototype_energy,2,2,0.0
4,r2_prototype_energy,2,3,1.0865901708602905
4,r2_prototype_energy,3,0,1.0
4,r2_prototype_energy,3,1,1.3718719482421875
4,r2_prototype_energy,3,2,1.0865901708602905
4,r2_prototype_energy,3,3,0.0
