model_seed,method,angle,host,baseline_accuracy,ablated_accuracy,accuracy_drop,is_top_host,is_random_control
1,r0_mlp,-75.0,0,0.2109375,0.2109375,0.0,0,0
1,r0_mlp,-75.0,1,0.2109375,0.2421875,-0.03125,1,0
1,r0_mlp,-75.0,2,0.2109375,0.2109375,0.0,0,0
1,r0_mlp,-75.0,3,0.2109375,0.2265625,-0.015625,0,1
1,r0_mlp,-60.0,0,0.25,0.2578125,-0.0078125,0,0
1,r0_mlp,-60.0,1,0.25,0.2734375,-0.0234375,0,0
1,r0_mlp,-60.0,2,0.25,0.265625,-0.015625,1,0
1,r0_mlp,-60.0,3,0.25,0.25,0.0,0,1
1,r0_mlp,-45.0,0,0.40625,0.40625,0.0,0,0
1,r0_mlp,-45.0,1,0.40625,0.375,0.03125,0,0
1,r0_mlp,-45.0,2,0.40625,0.390625,0.015625,1,0
1,r0_mlp,-45.0,3,0.40625,0.390625,0.015625,0,1
1,r0_mlp,-30.0,0,0.6484375,0.6953125,-0.046875,0,0
1,r0_mlp,-30.0,1,0.6484375,0.6015625,0.046875,0,0
1,r0_mlp,-30.0,2,0.6484375,0.6015625,0.046875,1,1
1,r0_mlp,-30.0,3,0.6484375,0.640625,0.0078125,0,0
1,r0_mlp,-15.0,0,0.8515625,0.8515625,0.0,0,0
1,r0_mlp,-15.0,1,0.8515625,0.859375,-0.0078125,0,1
1,r0_mlp,-15.0,2,0.8515625,0.8515625,0.0,1,0
1,r0_mlp,-15.0,3,0.8515625,0.859375,-0.0078125,0,0
1,r0_mlp,0.0,0,0.9375,0.9296875,0.0078125,0,0
1,r0_mlp,0.0,1,0.9375,0.921875,0.015625,0,1
1,r0_mlp,0.0,2,0.9375,0.921875,0.015625,1,0
1,r0_mlp,0.0,3,0.9375,0.9375,0.0,0,0
1,r0_mlp,15.0,0,0.921875,0.921875,0.0,0,0
1,r0_mlp,15.0,1,0.921875,0.9140625,0.0078125,0,0
1,r0_mlp,15.0,2,0.921875,0.9140625,0.0078125,1,1
1,r0_mlp,15.0,3,0.921875,0.9140625,0.0078125,0,0
1,r0_mlp,30.0,0,0.875,0.875,0.0,0,0
1,r0_mlp,30.0,1,0.875,0.8671875,0.0078125,0,0
1,r0_mlp,30.0,2,0.875,0.8671875,0.0078125,1,1
1,r0_mlp,30.0,3,0.875,0.8671875,0.0078125,0,0
1,r0_mlp,45.0,0,0.71875,0.7265625,-0.0078125,0,0
1,r0_mlp,45.0,1,0.71875,0.6953125,0.0234375,1,0
1,r0_mlp,45.0,2,0.71875,0.71875,0.0,0,0
1,r0_mlp,45.0,3,0.71875,0.703125,0.015625,0,1
1,r0_mlp,60.0,0,0.6015625,0.578125,0.0234375,0,0
1,r0_mlp,60.0,1,0.6015625,0.59375,0.0078125,1,0
1,r0_mlp,60.0,2,0.6015625,0.578125,0.0234375,0,1
1,r0_mlp,60.0,3,0.6015625,0.5625,0.0390625,0,0
1,r0_mlp,75.0,0,0.4296875,0.421875,0.0078125,0,0
1,r0_mlp,75.0,1,0.4296875,0.4765625,-0.046875,1,0
1,r0_mlp,75.0,2,0.4296875,0.40625,0.0234375,0,1
1,r0_mlp,75.0,3,0.4296875,0.4140625,0.015625,0,0
1,r1_linear,-75.0,0,0.234375,0.2890625,-0.0546875,1,0
1,r1_linear,-75.0,1,0.234375,0.203125,0.03125,0,0
1,r1_linear,-75.0,2,0.234375,0.2265625,0.0078125,0,0
1,r1_linear,-75.0,3,0.234375,0.2578125,-0.0234375,0,1
1,r1_linear,-60.0,0,0.2578125,0.28125,-0.0234375,1,0
1,r1_linear,-60.0,1,0.2578125,0.25,0.0078125,0,0
1,r1_linear,-60.0,2,0.2578125,0.2734375,-0.015625,0,0
1,r1_linear,-60.0,3,0.2578125,0.234375,0.0234375,0,1
1,r1_linear,-45.0,0,0.390625,0.4140625,-0.0234375,1,0
1,r1_linear,-45.0,1,0.390625,0.375,0.015625,0,0
1,r1_linear,-45.0,2,0.390625,0.390625,0.0,0,0
1,r1_linear,-45.0,3,0.390625,0.359375,0.03125,0,1
1,r1_linear,-30.0,0,0.640625,0.609375,0.03125,1,0
1,r1_linear,-30.0,1,0.640625,0.578125,0.0625,0,0
1,r1_linear,-30.0,2,0.640625,0.6015625,0.0390625,0,1
1,r1_linear,-30.0,3,0.640625,0.5859375,0.0546875,0,0
1,r1_linear,-15.0,0,0.8515625,0.859375,-0.0078125,1,0
1,r1_linear,-15.0,1,0.8515625,0.828125,0.0234375,0,1
1,r1_linear,-15.0,2,0.8515625,0.859375,-0.0078125,0,0
1,r1_linear,-15.0,3,0.8515625,0.84375,0.0078125,0,0
1,r1_linear,0.0,0,0.9375,0.90625,0.03125,0,0
1,r1_linear,0.0,1,0.9375,0.9140625,0.0234375,1,1
1,r1_linear,0.0,2,0.9375,0.9375,0.0,0,0
1,r1_linear,0.0,3,0.9375,0.921875,0.015625,0,0
1,r1_linear,15.0,0,0.921875,0.890625,0.03125,0,0
1,r1_linear,15.0,1,0.921875,0.9140625,0.0078125,1,0
1,r1_linear,15.0,2,0.921875,0.921875,0.0,0,1
1,r1_linear,15.0,3,0.921875,0.9140625,0.0078125,0,0
1,r1_linear,30.0,0,0.8671875,0.84375,0.0234375,0,0
1,r1_linear,30.0,1,0.8671875,0.7890625,0.078125,1,0
1,r1_linear,30.0,2,0.8671875,0.8671875,0.0,0,1
1,r1_linear,30.0,3,0.8671875,0.875,-0.0078125,0,0
1,r1_linear,45.0,0,0.71875,0.7109375,0.0078125,0,0
1,r1_linear,45.0,1,0.71875,0.6171875,0.1015625,1,0
1,r1_linear,45.0,2,0.71875,0.734375,-0.015625,0,0
1,r1_linear,45.0,3,0.71875,0.75,-0.03125,0,1
1,r1_linear,60.0,0,0.625,0.5703125,0.0546875,0,0
1,r1_linear,60.0,1,0.625,0.4140625,0.2109375,1,0
1,r1_linear,60.0,2,0.625,0.6015625,0.0234375,0,1
1,r1_linear,60.0,3,0.625,0.59375,0.03125,0,0
1,r1_linear,75.0,0,0.4609375,0.453125,0.0078125,0,0
1,r1_linear,75.0,1,0.4609375,0.2890625,0.171875,1,0
1,r1_linear,75.0,2,0.4609375,0.453125,0.0078125,0,1
1,r1_linear,75.0,3,0.4609375,0.4609375,0.0,0,0
1,r2_prototype_energy,-75.0,0,0.3359375,0.2890625,0.046875,1,0
1,r2_prototype_energy,-75.0,1,0.3359375,0.296875,0.0390625,0,0
1,r2_prototype_energy,-75.0,2,0.3359375,0.265625,0.0703125,0,0
1,r2_prototype_energy,-75.0,3,0.3359375,0.359375,-0.0234375,0,1
1,r2_prototype_energy,-60.0,0,0.3515625,0.3046875,0.046875,1,0
1,r2_prototype_energy,-60.0,1,0.3515625,0.3203125,0.03125,0,0
1,r2_prototype_energy,-60.0,2,0.3515625,0.21875,0.1328125,0,0
1,r2_prototype_energy,-60.0,3,0.3515625,0.3515625,0.0,0,1
1,r2_prototype_energy,-45.0,0,0.4140625,0.40625,0.0078125,0,0
1,r2_prototype_energy,-45.0,1,0.4140625,0.390625,0.0234375,0,0
1,r2_prototype_energy,-45.0,2,0.4140625,0.3515625,0.0625,0,0
1,r2_prototype_energy,-45.0,3,0.4140625,0.3984375,0.015625,1,1
1,r2_prototype_energy,-30.0,0,0.5390625,0.5078125,0.03125,0,0
1,r2_prototype_energy,-30.0,1,0.5390625,0.515625,0.0234375,0,0
1,r2_prototype_energy,-30.0,2,0.5390625,0.5234375,0.015625,0,1
1,r2_prototype_energy,-30.0,3,0.5390625,0.5703125,-0.03125,1,0
1,r2_prototype_energy,-15.0,0,0.765625,0.7421875,0.0234375,0,0
1,r2_prototype_energy,-15.0,1,0.765625,0.7421875,0.0234375,0,1
1,r2_prototype_energy,-15.0,2,0.765625,0.734375,0.03125,0,0
1,r2_prototype_energy,-15.0,3,0.765625,0.71875,0.046875,1,0
1,r2_prototype_energy,0.0,0,0.859375,0.84375,0.015625,0,0
1,r2_prototype_energy,0.0,1,0.859375,0.765625,0.09375,0,1
1,r2_prototype_energy,0.0,2,0.859375,0.84375,0.015625,0,0
1,r2_prototype_energy,0.0,3,0.859375,0.828125,0.03125,1,0
1,r2_prototype_energy,15.0,0,0.8671875,0.8359375,0.03125,0,0
1,r2_prototype_energy,15.0,1,0.8671875,0.7734375,0.09375,0,0
1,r2_prototype_energy,15.0,2,0.8671875,0.8671875,0.0,0,1
1,r2_prototype_energy,15.0,3,0.8671875,0.7890625,0.078125,1,0
1,r2_prototype_energy,30.0,0,0.859375,0.796875,0.0625,0,0
1,r2_prototype_energy,30.0,1,0.859375,0.71875,0.140625,1,0
1,r2_prototype_energy,30.0,2,0.859375,0.8671875,-0.0078125,0,1
1,r2_prototype_energy,30.0,3,0.859375,0.7578125,0.1015625,0,0
1,r2_prototype_energy,45.0,0,0.7421875,0.671875,0.0703125,0,0
1,r2_prototype_energy,45.0,1,0.7421875,0.6171875,0.125,1,0
1,r2_prototype_energy,45.0,2,0.7421875,0.7109375,0.03125,0,0
1,r2_prototype_energy,45.0,3,0.7421875,0.6640625,0.078125,0,1
1,r2_prototype_energy,60.0,0,0.5859375,0.5390625,0.046875,0,0
1,r2_prototype_energy,60.0,1,0.5859375,0.484375,0.1015625,0,0
1,r2_prototype_energy,60.0,2,0.5859375,0.546875,0.0390625,1,1
1,r2_prototype_energy,60.0,3,0.5859375,0.609375,-0.0234375,0,0
1,r2_prototype_energy,75.0,0,0.40625,0.4140625,-0.0078125,0,0
1,r2_prototype_energy,75.0,1,0.40625,0.265625,0.140625,0,0
1,r2_prototype_energy,75.0,2,0.40625,0.3828125,0.0234375,1,1
1,r2_prototype_energy,75.0,3,0.40625,0.4375,-0.03125,0,0
