model_seed,method,source_index,scale,nominal_change,functional_change,prediction_preserved
2,r0_mlp,544,0.02,0.0007295359391719103,9.363215092150767e-09,1
2,r0_mlp,4306,0.02,0.0011688785161823034,1.0961453078550676e-08,1
2,r0_mlp,6410,0.02,0.0014021999668329954,1.065743671091468e-08,1
2,r0_mlp,6382,0.02,0.0008984534651972353,1.0547142714756319e-08,1
2,r0_mlp,8949,0.02,0.0006234835018403828,1.047833553258215e-08,1
2,r0_mlp,9600,0.02,0.0012456090189516544,9.86538761793554e-09,1
2,r0_mlp,486,0.02,0.0013177681248635054,9.932272782009477e-09,1
2,r0_mlp,109,0.02,0.0007387992809526622,9.253279031895545e-09,1
2,r0_mlp,2500,0.02,0.001189124770462513,9.420292990114376e-09,1
2,r0_mlp,1413,0.02,0.0012737108627334237,9.842851866892488e-09,1
2,r0_mlp,360,0.02,0.000956524396315217,1.0735416111629092e-08,1
2,r0_mlp,2139,0.02,0.00203981576487422,9.8720178698386e-09,1
2,r0_mlp,9158,0.02,0.000586349458899349,1.0362819047315952e-08,1
2,r0_mlp,3213,0.02,0.0005584603641182184,9.765875219613918e-09,1
2,r0_mlp,8351,0.02,0.0011577599216252565,1.0202106714984893e-08,1
2,r0_mlp,4655,0.02,0.0016792167443782091,1.157477758084724e-08,1
2,r0_mlp,6249,0.02,0.001509008463472128,1.0903129954442647e-08,1
2,r0_mlp,8929,0.02,0.0007086147088557482,1.0434074937393234e-08,1
2,r0_mlp,6036,0.02,0.0013464133953675628,1.172902841517498e-08,1
2,r0_mlp,1671,0.02,0.0003569952677935362,9.187321126091774e-09,1
2,r0_mlp,3885,0.02,0.0014805051032453775,9.83659820263938e-09,1
2,r0_mlp,3768,0.02,0.0007273037917912006,1.0757570834130092e-08,1
2,r0_mlp,4069,0.02,0.000821688852738589,9.753119201150184e-09,1
2,r0_mlp,9482,0.02,0.0014371635625138879,1.2234868229654694e-08,1
2,r0_mlp,1037,0.02,0.0018344235140830278,9.895491537292855e-09,1
2,r0_mlp,9099,0.02,0.0011674024863168597,1.0190070121041117e-08,1
2,r0_mlp,1129,0.02,0.0011139657581225038,9.538597467440013e-09,1
2,r0_mlp,2066,0.02,0.0015314852353185415,1.08857385328065e-08,1
2,r0_mlp,8225,0.02,0.0017747509991750121,8.686495966969687e-09,1
2,r0_mlp,5603,0.02,0.001048759906552732,1.1350116402297772e-08,1
2,r0_mlp,755,0.02,0.0015813576756045222,9.239692566609392e-09,1
2,r0_mlp,9587,0.02,0.0018724773544818163,1.1173695746435897e-08,1
2,r0_mlp,9193,0.02,0.0018658789340406656,1.3210309290911937e-08,1
2,r0_mlp,7416,0.02,0.0011487883748486638,1.1851971848386711e-08,1
2,r0_mlp,468,0.02,0.0010378161678090692,1.1661038357146936e-08,1
2,r0_mlp,5679,0.02,0.0007889284170232713,9.346406315557942e-09,1
2,r0_mlp,2267,0.02,0.0014492337359115481,1.103302960103747e-08,1
2,r0_mlp,848,0.02,0.001263189478777349,9.647523668832036e-09,1
2,r0_mlp,6745,0.02,0.0015128283994272351,1.1121342957665092e-08,1
2,r0_mlp,589,0.02,0.001812146045267582,1.1844135450189697e-08,1
2,r0_mlp,8926,0.02,0.001144700450822711,9.982668025543262e-09,1
2,r0_mlp,800,0.02,0.0006463032914325595,9.641212272981647e-09,1
2,r0_mlp,5369,0.02,0.0008640585583634675,1.0154423080166453e-08,1
2,r0_mlp,6049,0.02,0.0015376291703432798,1.153778406148831e-08,1
